Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
MMRRRPPP,steradians,0 to 4,0 to 4,0 to 4,0 to 4,,0-1,degrees,steradians,meters,degrees,meters,%,,,,,,,,,,,
String (10 char.),Float  (1 decimal),vector 4 components,vector 4 components,vector 4 components,vector 4 components,,Float (2 decimals),Float (2 decimals),Float  (1 decimal),Float (2 decimals),Float (1 decimal),Float (2 decimals),Float (2 decimals),,,,,,,,,,,
33000000,0,0,0,0,0,0.00,0.34,0.00,0.13,0.85,43.7,1.51,0.3,,,,,,,,,,,
33000001,0.406,1,1,2,2,1.30,0.34,17.10,0.13,0.93,11.5,1.51,0.79,,,,,,,,,,,
33000002,0.237,0,0,1,1,1.25,0.34,12.10,0.13,1.40,20.0,1.51,0.29,,,,,,,,,,,
33000003,0.368,2,2,4,4,1.17,0.34,17.00,0.13,0.95,32.7,1.51,0.71,,,,,,,,,,,
33000004,0.29,2,2,4,4,1.29,0.34,13.60,0.13,1.22,10.4,1.51,0.6,,,,,,,,,,,
33000005,0.197,2,2,2,3,1.28,0.34,10.60,0.13,1.61,2.6,1.51,0.38,,,,,,,,,,,
33000006,0.019,0,3,3,3,0.00,0.34,12.60,0.13,1.39,60.5,1.51,0.16,,,,,,,,,,,
33000007,0.143,1,1,4,4,0.78,0.34,12.10,0.13,1.43,40.1,1.51,0.26,,,,,,,,,,,
33000008,0.177,3,3,3,4,1.16,0.34,10.60,0.13,1.62,22.7,1.51,0.3,,,,,,,,,,,
33000009,0,0,0,0,0,0.00,0.34,0.00,0.13,1.99,73.3,1.51,0.12,,,,,,,,,,,
33000010,0.017,0,0,4,4,0.15,0.34,9.40,0.13,1.89,58.8,1.51,0.13,,,,,,,,,,,
33000011,0.07,0,0,4,4,0.60,0.34,9.20,0.13,1.91,43.7,1.51,0.15,,,,,,,,,,,
33000012,0,0,0,0,0,0.00,0.34,0.00,0.13,2.47,69.5,1.51,0.1,,,,,,,,,,,
33000013,0.013,0,0,1,4,0.17,0.34,7.50,0.13,2.39,57.8,1.51,0.11,,,,,,,,,,,
33000014,0.01,0,0,0,4,0.18,0.34,6.20,0.13,2.89,57.2,1.51,0.09,,,,,,,,,,,
33001000,0.005,0,0,0,0,0.00,0.20,28.30,0.08,1.54,62.4,2.18,0.07,,,,,,,,,,,
33001001,0.094,0,0,0,0,1.47,0.20,41.90,0.08,0.89,47.8,2.18,0.15,,,,,,,,,,,
33001002,0.1,0,0,0,0,0.77,0.20,30.30,0.08,1.39,43.5,2.18,0.09,,,,,,,,,,,
33001003,0.076,0,0,0,0,0.65,0.20,23.60,0.08,1.88,41.5,2.18,0.11,,,,,,,,,,,
33001004,0.217,2,2,2,2,1.70,0.20,39.40,0.08,0.93,16.1,2.18,0.46,,,,,,,,,,,
33001005,0.184,1,1,1,1,1.24,0.20,29.50,0.08,1.41,23.0,2.18,0.12,,,,,,,,,,,
33001006,0.122,0,0,0,0,0.97,0.20,23.30,0.08,1.90,26.3,2.18,0.13,,,,,,,,,,,
33001007,0.084,0,0,0,0,0.84,0.20,19.10,0.08,2.40,28.3,2.18,0.05,,,,,,,,,,,
33001008,0.06,0,0,0,0,0.76,0.20,16.10,0.08,2.89,29.6,2.18,0.04,,,,,,,,,,,
33001009,0.216,3,3,3,3,1.41,0.20,33.10,0.08,1.20,7.1,2.18,0.83,,,,,,,,,,,
33001010,0.179,2,2,2,2,1.23,0.20,26.60,0.08,1.60,5.2,2.18,0.29,,,,,,,,,,,
33001011,0.137,1,2,2,2,1.14,0.20,21.80,0.08,2.04,12.4,2.18,0.11,,,,,,,,,,,
33001012,0.097,1,1,1,1,1.01,0.20,18.30,0.08,2.51,16.9,2.18,0.04,,,,,,,,,,,
33001013,0.07,0,0,0,0,0.92,0.20,15.60,0.08,2.99,20.0,2.18,0.08,,,,,,,,,,,
33001014,0.052,0,0,0,0,0.85,0.20,13.60,0.08,3.47,22.3,2.18,0.05,,,,,,,,,,,
33001015,0.12,1,3,3,3,1.12,0.20,19.80,0.08,2.29,0.8,2.18,0.17,,,,,,,,,,,
33001016,0.095,0,1,2,2,1.08,0.20,17.00,0.08,2.71,6.9,2.18,0.13,,,,,,,,,,,
33001017,0.073,1,1,1,1,1.03,0.20,14.80,0.08,3.16,11.3,2.18,0.05,,,,,,,,,,,
33001018,0.056,1,1,1,1,0.96,0.20,13.10,0.08,3.62,14.6,2.18,0.04,,,,,,,,,,,
33001019,0.043,0,0,0,0,0.90,0.20,11.60,0.08,4.09,17.1,2.18,0.02,,,,,,,,,,,
33001020,0.082,2,2,4,4,1.07,0.20,15.60,0.08,2.99,1.5,2.18,0.08,,,,,,,,,,,
33001021,0.067,1,1,1,3,1.05,0.20,13.90,0.08,3.40,3.6,2.18,0.08,,,,,,,,,,,
33001022,0.055,1,1,1,2,1.03,0.20,12.40,0.08,3.83,7.6,2.18,0.09,,,,,,,,,,,
33001023,0.044,1,1,1,1,0.98,0.20,11.20,0.08,4.28,10.8,2.18,0.04,,,,,,,,,,,
33001024,0.035,0,0,0,0,0.93,0.20,10.10,0.08,4.74,13.3,2.18,0.03,,,,,,,,,,,
33001025,0.029,0,0,0,0,0.89,0.20,9.20,0.08,5.20,15.4,2.18,0.04,,,,,,,,,,,
33001026,0.059,2,2,2,4,1.04,0.20,12.80,0.08,3.69,3.0,2.18,0.06,,,,,,,,,,,
33001027,0.05,1,1,1,2,1.03,0.20,11.60,0.08,4.09,1.4,2.18,0.03,,,,,,,,,,,
33001028,0.042,1,1,1,2,1.02,0.20,10.60,0.08,4.51,5.0,2.18,0.03,,,,,,,,,,,
33001029,0.035,1,1,1,2,0.99,0.20,9.70,0.08,4.95,8.0,2.18,0.05,,,,,,,,,,,
33001030,0.029,1,1,1,1,0.95,0.20,8.90,0.08,5.40,10.5,2.18,0.03,,,,,,,,,,,
33001031,0.038,2,2,2,2,1.02,0.20,10.00,0.08,4.79,0.1,2.18,0.03,,,,,,,,,,,
33001032,0.033,1,1,1,1,1.01,0.20,9.20,0.08,5.20,3.1,2.18,0.04,,,,,,,,,,,
33001033,0.028,2,2,2,2,1.00,0.20,8.60,0.08,5.63,5.9,2.18,0.03,,,,,,,,,,,
33001034,0.03,1,1,1,1,1.01,0.20,8.80,0.08,5.49,1.3,2.18,0.03,,,,,,,,,,,
33002000,0.379,3,2,2,3,2.00,0.48,-3.00,0.19,0.80,2.7,1.01,0.16,,,,,,,,,,,
33002001,0.231,3,1,1,4,1.96,0.48,-2.20,0.19,1.15,18.6,1.01,0.13,,,,,,,,,,,
33002002,0.156,3,2,3,3,2.00,0.48,-1.70,0.19,1.50,2.9,1.01,0.1,,,,,,,,,,,
33002003,0.104,2,2,2,2,1.99,0.48,-1.30,0.19,1.92,6.5,1.01,0.11,,,,,,,,,,,
33002004,0.082,3,3,3,3,2.00,0.48,-1.10,0.19,2.21,4.9,1.01,0.12,,,,,,,,,,,
33003000,0.008,0,0,0,0,0.12,0.23,36.00,0.07,1.30,57.1,2.47,0.14,,,,,,,,,,,
33003001,0.03,0,0,0,0,0.25,0.23,28.60,0.07,1.78,51.2,2.47,0.17,,,,,,,,,,,
33003002,0.136,0,0,0,0,1.00,0.23,37.40,0.07,1.21,34.5,2.47,0.2,,,,,,,,,,,
33003003,0.101,0,0,0,0,0.67,0.23,29.20,0.07,1.71,34.9,2.47,0.16,,,,,,,,,,,
33003004,0.074,0,0,0,0,0.56,0.23,23.90,0.07,2.21,35.1,2.47,0.14,,,,,,,,,,,
33003005,0.055,0,0,0,0,0.51,0.23,20.10,0.07,2.71,35.2,2.47,0.12,,,,,,,,,,,
33003006,0.179,3,3,3,3,1.69,0.23,44.90,0.07,0.89,0.7,2.47,1.4,,,,,,,,,,,
33003007,0.192,1,2,2,2,1.17,0.23,34.90,0.07,1.32,12.3,2.47,0.44,,,,,,,,,,,
33003008,0.151,0,0,1,1,0.95,0.23,28.10,0.07,1.79,18.7,2.47,0.15,,,,,,,,,,,
33003009,0.105,0,0,0,0,0.78,0.23,23.30,0.07,2.28,22.4,2.47,0.16,,,,,,,,,,,
33003010,0.075,0,0,0,0,0.68,0.23,19.80,0.07,2.76,24.8,2.47,0.13,,,,,,,,,,,
33003011,0.056,0,0,0,0,0.62,0.23,17.10,0.07,3.26,26.5,2.47,0.09,,,,,,,,,,,
33003012,0.178,2,2,3,3,1.06,0.23,30.60,0.07,1.59,4.4,2.47,0.82,,,,,,,,,,,
33003013,0.147,2,1,1,2,0.97,0.23,25.80,0.07,2.00,4.9,2.47,0.26,,,,,,,,,,,
33003014,0.117,2,1,1,1,0.91,0.23,21.90,0.07,2.44,10.9,2.47,0.11,,,,,,,,,,,
33003015,0.086,1,1,0,1,0.81,0.23,18.90,0.07,2.90,15.1,2.47,0.09,,,,,,,,,,,
33003016,0.064,0,0,0,0,0.74,0.23,16.50,0.07,3.37,18.1,2.47,0.08,,,,,,,,,,,
33003017,0.049,0,0,0,0,0.68,0.23,14.70,0.07,3.85,20.4,2.47,0.07,,,,,,,,,,,
33003018,0.126,4,3,3,4,0.93,0.23,23.10,0.07,2.30,5.9,2.47,0.32,,,,,,,,,,,
33003019,0.104,3,2,2,3,0.90,0.23,20.20,0.07,2.69,1.2,2.47,0.17,,,,,,,,,,,
33003020,0.085,2,2,1,1,0.87,0.23,17.80,0.07,3.11,6.5,2.47,0.12,,,,,,,,,,,
33003021,0.067,2,2,0,0,0.83,0.23,15.80,0.07,3.56,10.4,2.47,0.08,,,,,,,,,,,
33003022,0.052,1,1,0,0,0.77,0.23,14.10,0.07,4.02,13.5,2.47,0.08,,,,,,,,,,,
33003023,0.042,0,0,0,0,0.72,0.23,12.70,0.07,4.48,15.9,2.47,0.06,,,,,,,,,,,
33003024,0.034,0,0,0,0,0.68,0.23,11.60,0.07,4.96,17.9,2.47,0.05,,,,,,,,,,,
33003025,0.076,4,4,2,2,0.86,0.23,16.50,0.07,3.39,0.9,2.47,0.13,,,,,,,,,,,
33003026,0.063,3,3,1,1,0.85,0.23,14.80,0.07,3.80,3.6,2.47,0.11,,,,,,,,,,,
33003027,0.053,1,2,2,0,0.83,0.23,13.40,0.07,4.23,7.2,2.47,0.08,,,,,,,,,,,
33003028,0.043,1,1,1,0,0.79,0.23,12.20,0.07,4.68,10.1,2.47,0.06,,,,,,,,,,,
33003029,0.035,0,0,0,0,0.75,0.23,11.20,0.07,5.13,12.6,2.47,0.09,,,,,,,,,,,
33003030,0.029,0,0,0,0,0.71,0.23,10.30,0.07,5.59,14.6,2.47,0.04,,,,,,,,,,,
33003031,0.056,3,4,2,2,0.84,0.23,13.90,0.07,4.09,2.3,2.47,0.09,,,,,,,,,,,
33003032,0.048,2,4,4,2,0.84,0.23,12.70,0.07,4.49,1.6,2.47,0.11,,,,,,,,,,,
33003033,0.042,1,3,3,1,0.83,0.23,11.70,0.07,4.91,4.9,2.47,0.08,,,,,,,,,,,
33003034,0.035,1,2,2,0,0.80,0.23,10.80,0.07,5.35,7.6,2.47,0.07,,,,,,,,,,,
33003035,0.029,1,1,1,0,0.76,0.23,10.00,0.07,5.79,10.0,2.47,0.04,,,,,,,,,,,
33003036,0.025,0,0,0,0,0.73,0.23,9.30,0.07,6.25,12.0,2.47,0.05,,,,,,,,,,,
33003037,0.043,2,4,4,3,0.83,0.23,11.90,0.07,4.79,3.3,2.47,0.08,,,,,,,,,,,
33003038,0.038,2,4,4,2,0.83,0.23,11.10,0.07,5.19,0.1,2.47,0.05,,,,,,,,,,,
33003039,0.033,1,3,3,1,0.82,0.23,10.30,0.07,5.60,3.1,2.47,0.07,,,,,,,,,,,
33003040,0.029,2,3,3,3,0.81,0.23,9.60,0.07,6.03,5.7,2.47,0.06,,,,,,,,,,,
33003041,0.031,1,4,4,2,0.82,0.23,9.80,0.07,5.89,1.0,2.47,0.05,,,,,,,,,,,
33003042,0.027,1,2,4,4,0.82,0.23,9.20,0.07,6.30,1.8,2.47,0.07,,,,,,,,,,,
33004000,0,0,0,0,0,0.00,0.79,0.00,0.02,0.67,42.1,3.08,0.4,,,,,,,,,,,
33004001,0.023,0,4,0,0,10.72,0.79,59.90,0.02,1.17,39.4,3.08,0.52,,,,,,,,,,,
33004002,0.017,4,3,1,0,23.81,0.79,67.60,0.02,0.79,3.0,3.08,0.55,,,,,,,,,,,
33004003,0.043,1,3,1,0,8.19,0.79,57.40,0.02,1.24,15.7,3.08,0.82,,,,,,,,,,,
33004004,0.053,1,3,3,1,5.26,0.79,48.60,0.02,1.72,21.4,3.08,0.85,,,,,,,,,,,
33004005,0.052,0,3,4,3,4.06,0.79,41.60,0.02,2.21,24.7,3.08,0.91,,,,,,,,,,,
33004006,0.007,3,0,2,4,34.19,0.79,65.20,0.02,0.94,44.2,3.08,0.39,,,,,,,,,,,
33004007,0.037,1,1,3,4,9.55,0.79,59.60,0.02,1.14,18.6,3.08,0.75,,,,,,,,,,,
33004008,0.054,4,2,2,2,6.29,0.79,52.30,0.02,1.49,2.7,3.08,0.89,,,,,,,,,,,
33004009,0.059,2,4,4,2,4.82,0.79,45.40,0.02,1.90,6.7,3.08,1.11,,,,,,,,,,,
33004010,0.056,2,3,3,4,4.02,0.79,39.50,0.02,2.35,12.7,3.08,1.06,,,,,,,,,,,
33004011,0.05,2,3,3,4,3.54,0.79,34.60,0.02,2.82,16.7,3.08,0.93,,,,,,,,,,,
33004012,0.024,4,0,0,4,6.95,0.79,54.70,0.02,1.44,47.6,3.08,0.53,,,,,,,,,,,
33004013,0.046,3,1,1,3,5.81,0.79,51.30,0.02,1.57,29.2,3.08,0.72,,,,,,,,,,,
33004014,0.057,4,4,2,3,4.93,0.79,46.50,0.02,1.84,15.0,3.08,1.19,,,,,,,,,,,
33004015,0.059,4,4,4,2,4.28,0.79,41.40,0.02,2.19,4.8,3.08,1.07,,,,,,,,,,,
33004016,0.055,3,4,4,4,3.81,0.79,36.80,0.02,2.59,2.4,3.08,0.73,,,,,,,,,,,
33004017,0.029,4,1,0,0,3.94,0.79,46.20,0.02,1.93,49.3,3.08,0.25,,,,,,,,,,,
33004018,0.045,4,3,2,3,4.08,0.79,44.10,0.02,2.04,35.1,3.08,0.72,,,,,,,,,,,
33004019,0.053,4,4,3,3,4.02,0.79,40.90,0.02,2.25,23.0,3.08,0.91,,,,,,,,,,,
33004020,0.054,4,4,4,4,3.80,0.79,37.30,0.02,2.55,13.3,3.08,1.02,,,,,,,,,,,
33004021,0.015,0,0,0,0,2.46,0.79,39.60,0.02,2.45,62.0,3.08,0.28,,,,,,,,,,,
33004022,0.029,4,4,0,0,2.88,0.79,39.50,0.02,2.43,50.3,3.08,0.44,,,,,,,,,,,
33004023,0.04,4,4,3,2,3.21,0.79,38.20,0.02,2.52,38.9,3.08,0.78,,,,,,,,,,,
33004024,0.046,4,4,4,4,3.36,0.79,36.10,0.02,2.69,28.5,3.08,0.95,,,,,,,,,,,
33004025,0.007,0,0,0,0,1.57,0.79,33.60,0.02,3.04,70.1,3.08,0.21,,,,,,,,,,,
33004026,0.016,0,0,0,0,1.96,0.79,34.30,0.02,2.95,60.7,3.08,0.22,,,,,,,,,,,
33004027,0.026,4,4,3,0,2.38,0.79,34.20,0.02,2.93,50.9,3.08,0.48,,,,,,,,,,,
33004028,0.034,4,4,3,1,2.70,0.79,33.40,0.02,3.00,41.4,3.08,0.63,,,,,,,,,,,
33004029,0.038,4,4,4,4,2.92,0.79,31.90,0.02,3.15,32.5,3.08,0.7,,,,,,,,,,,
33004030,0,0,0,0,0,0.00,0.79,0.00,0.02,3.68,75.4,3.08,0.16,,,,,,,,,,,
33004031,0.008,0,0,0,0,1.34,0.79,29.60,0.02,3.53,67.9,3.08,0.19,,,,,,,,,,,
33004032,0.016,0,0,0,0,1.73,0.79,30.10,0.02,3.44,59.7,3.08,0.18,,,,,,,,,,,
