Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
33004033,0.023,4,4,3,0,2.09,0.79,30.10,0.02,3.43,51.4,3.08,0.36,,,,,,,,,,,
33004034,0.028,4,4,3,1,2.39,0.79,29.50,0.02,3.49,43.2,3.08,0.31,,,,,,,,,,,
33004035,0.004,0,0,0,0,0.92,0.79,25.70,0.02,4.15,72.9,3.08,0.11,,,,,,,,,,,
33004036,0.009,0,0,0,0,1.26,0.79,26.40,0.02,4.02,66.2,3.08,0.16,,,,,,,,,,,
33004037,0.014,0,0,0,0,1.59,0.79,26.80,0.02,3.94,59.0,3.08,0.2,,,,,,,,,,,
33004038,0.019,4,3,1,0,1.90,0.79,26.80,0.02,3.93,51.8,3.08,0.21,,,,,,,,,,,
33004039,0,0,0,0,0,0.00,0.79,0.00,0.02,4.79,76.7,3.08,0.1,,,,,,,,,,,
33004040,0.005,0,0,0,0,0.91,0.79,23.30,0.02,4.63,70.9,3.08,0.14,,,,,,,,,,,
33004041,0.009,0,0,0,0,1.21,0.79,23.80,0.02,4.51,64.8,3.08,0.18,,,,,,,,,,,
33004042,0.013,3,3,2,0,1.50,0.79,24.10,0.02,4.44,58.5,3.08,0.21,,,,,,,,,,,
33004043,0.017,3,2,2,1,1.78,0.79,24.00,0.02,4.43,52.0,3.08,0.2,,,,,,,,,,,
33004044,0,0,0,0,0,0.00,0.79,0.00,0.02,5.45,79.5,3.08,0.1,,,,,,,,,,,
33004045,0,0,0,0,0,0.00,0.79,0.00,0.02,5.26,74.6,3.08,0.09,,,,,,,,,,,
33004046,0.005,0,0,0,0,0.92,0.79,21.20,0.02,5.11,69.3,3.08,0.1,,,,,,,,,,,
33004047,0.008,0,0,0,0,1.19,0.79,21.60,0.02,5.00,63.8,3.08,0.14,,,,,,,,,,,
33004048,0.011,3,2,2,1,1.45,0.79,21.80,0.02,4.94,58.0,3.08,0.15,,,,,,,,,,,
33004049,0,0,0,0,0,0.00,0.79,0.00,0.02,5.91,77.4,3.08,0.06,,,,,,,,,,,
33004050,0,0,0,0,0,0.00,0.79,0.00,0.02,5.73,72.8,3.08,0.07,,,,,,,,,,,
33004051,0.005,0,0,0,0,0.94,0.79,19.50,0.02,5.59,68.0,3.08,0.1,,,,,,,,,,,
33004052,0.008,0,0,0,0,1.17,0.79,19.80,0.02,5.49,62.9,3.08,0.09,,,,,,,,,,,
33004053,0,0,0,0,0,0.00,0.79,0.00,0.02,6.57,79.7,3.08,0.08,,,,,,,,,,,
33004054,0,0,0,0,0,0.00,0.79,0.00,0.02,6.37,75.7,3.08,0.07,,,,,,,,,,,
33004055,0,0,0,0,0,0.00,0.79,0.00,0.02,6.21,71.4,3.08,0.07,,,,,,,,,,,
33004056,0.005,0,0,0,0,0.95,0.79,18.00,0.02,6.08,66.8,3.08,0.08,,,,,,,,,,,
33004057,0,0,0,0,0,0.00,0.79,0.00,0.02,7.24,81.6,3.08,0.09,,,,,,,,,,,
33004058,0,0,0,0,0,0.00,0.79,0.00,0.02,7.03,77.9,3.08,0.07,,,,,,,,,,,
33004059,0,0,0,0,0,0.00,0.79,0.00,0.02,6.84,74.1,3.08,0.05,,,,,,,,,,,
33004060,0,0,0,0,0,0.00,0.79,0.00,0.02,6.68,70.1,3.08,0.06,,,,,,,,,,,
33004061,0.005,0,0,0,0,0.96,0.79,16.70,0.02,6.57,65.9,3.08,0.06,,,,,,,,,,,
33004062,0,0,0,0,0,0.00,0.79,0.00,0.02,7.31,72.8,3.08,0.05,,,,,,,,,,,
33004063,0,0,0,0,0,0.00,0.79,0.00,0.02,7.17,69.0,3.08,0.09,,,,,,,,,,,
33005000,0.068,0,0,0,0,3.14,0.84,42.30,0.07,1.93,61.3,2.74,0.48,,,,,,,,,,,
33005001,0.05,0,0,0,4,5.70,0.84,52.50,0.07,1.44,63.8,2.74,0.6,,,,,,,,,,,
33005002,0.112,0,0,0,0,3.74,0.84,40.60,0.07,1.93,46.4,2.74,0.69,,,,,,,,,,,
33005003,0.116,0,0,1,3,5.29,0.84,49.40,0.07,1.44,43.7,2.74,1.01,,,,,,,,,,,
33005004,0.086,0,0,4,4,9.58,0.84,60.20,0.07,0.95,38.3,2.74,1.79,,,,,,,,,,,
33005005,0.021,0,0,4,4,48.43,0.84,72.40,0.07,0.49,22.0,2.74,0.72,,,,,,,,,,,
33005006,0.111,0,1,2,1,3.34,0.84,32.00,0.07,2.53,36.7,2.74,0.53,,,,,,,,,,,
33005007,0.134,0,0,0,0,3.96,0.84,37.40,0.07,2.06,32.5,2.74,0.6,,,,,,,,,,,
33005008,0.147,0,0,0,0,4.89,0.84,44.10,0.07,1.61,25.9,2.74,0.69,,,,,,,,,,,
33005009,0.143,0,1,2,3,6.56,0.84,51.80,0.07,1.19,14.5,2.74,1.2,,,,,,,,,,,
33005010,0.11,3,3,3,2,9.68,0.84,59.80,0.07,0.87,7.2,2.74,2.38,,,,,,,,,,,
33005011,0.048,4,4,4,0,16.50,0.84,66.00,0.07,0.77,42.1,2.74,1.36,,,,,,,,,,,
33005012,0.114,0,0,0,0,3.52,0.84,29.60,0.07,2.73,26.6,2.74,0.51,,,,,,,,,,,
33005013,0.135,0,0,0,0,3.92,0.84,33.80,0.07,2.29,20.8,2.74,0.6,,,,,,,,,,,
33005014,0.152,0,0,0,0,4.46,0.84,38.60,0.07,1.90,12.5,2.74,0.58,,,,,,,,,,,
33005015,0.159,1,1,1,1,5.15,0.84,43.90,0.07,1.56,0.2,2.74,1.04,,,,,,,,,,,
33005016,0.148,4,3,1,1,5.87,0.84,48.90,0.07,1.33,17.5,2.74,1.62,,,,,,,,,,,
33005017,0.115,4,4,4,2,6.23,0.84,52.60,0.07,1.26,39.6,2.74,2.5,,,,,,,,,,,
33005018,0.061,4,4,4,4,5.89,0.84,53.10,0.07,1.39,60.6,2.74,1.34,,,,,,,,,,,
33005019,0.126,0,0,0,0,3.81,0.84,30.30,0.07,2.60,11.6,2.74,0.54,,,,,,,,,,,
33005020,0.142,0,0,0,0,4.10,0.84,33.70,0.07,2.26,3.0,2.74,0.67,,,,,,,,,,,
33005021,0.151,1,1,1,1,4.37,0.84,37.30,0.07,1.99,8.3,2.74,0.93,,,,,,,,,,,
33005022,0.149,3,2,2,1,4.50,0.84,40.40,0.07,1.81,22.5,2.74,1.14,,,,,,,,,,,
33005023,0.131,4,3,1,0,4.34,0.84,42.60,0.07,1.76,38.5,2.74,1.57,,,,,,,,,,,
33005024,0.093,4,4,4,4,3.61,0.84,42.80,0.07,1.86,54.1,2.74,1.41,,,,,,,,,,,
33005025,0.045,4,4,4,4,2.59,0.84,40.60,0.07,2.07,67.4,2.74,0.94,,,,,,,,,,,
33005026,0.008,4,4,4,4,2.15,0.84,36.80,0.07,2.37,77.8,2.74,0.38,,,,,,,,,,,
33005027,0.132,2,1,1,0,3.89,0.84,32.00,0.07,2.44,13.7,2.74,0.73,,,,,,,,,,,
33005028,0.132,3,2,2,1,3.85,0.84,34.00,0.07,2.30,25.4,2.74,1.04,,,,,,,,,,,
33005029,0.119,4,4,2,1,3.55,0.84,35.20,0.07,2.26,37.9,2.74,1.24,,,,,,,,,,,
33005030,0.093,4,4,4,4,2.97,0.84,35.30,0.07,2.34,50.3,2.74,1.29,,,,,,,,,,,
33005031,0.059,4,4,4,4,2.25,0.84,34.00,0.07,2.51,61.4,2.74,0.84,,,,,,,,,,,
33005032,0.029,4,4,4,4,1.56,0.84,31.70,0.07,2.76,70.8,2.74,0.57,,,,,,,,,,,
33005033,0.008,4,4,4,4,1.05,0.84,28.80,0.07,3.08,78.5,2.74,0.26,,,,,,,,,,,
33005034,0.111,3,2,2,1,3.46,0.84,29.00,0.07,2.79,27.2,2.74,0.91,,,,,,,,,,,
33005035,0.101,4,3,3,2,3.15,0.84,29.80,0.07,2.76,37.5,2.74,0.97,,,,,,,,,,,
33005036,0.083,4,4,4,4,2.69,0.84,29.80,0.07,2.82,47.7,2.74,1,,,,,,,,,,,
33005037,0.06,4,4,4,4,2.16,0.84,29.00,0.07,2.97,57.2,2.74,0.82,,,,,,,,,,,
33005038,0.037,4,4,4,4,1.62,0.84,27.50,0.07,3.18,65.6,2.74,0.6,,,,,,,,,,,
33005039,0.019,4,4,4,4,1.13,0.84,25.60,0.07,3.46,72.8,2.74,0.35,,,,,,,,,,,
33005040,0.006,4,4,4,4,0.73,0.84,23.50,0.07,3.78,78.9,2.74,0.28,,,,,,,,,,,
33005041,0,0,0,0,0,0.00,0.84,0.00,0.07,4.14,84.0,2.74,0.23,,,,,,,,,,,
33005042,0.071,4,4,4,4,2.55,0.84,25.70,0.07,3.31,45.9,2.74,0.76,,,,,,,,,,,
33005043,0.055,4,4,4,4,2.12,0.84,25.10,0.07,3.44,54.2,2.74,0.71,,,,,,,,,,,
33005044,0.038,4,4,4,4,1.69,0.84,24.10,0.07,3.63,61.7,2.74,0.57,,,,,,,,,,,
33005045,0.024,4,4,4,4,1.28,0.84,22.80,0.07,3.87,68.4,2.74,0.41,,,,,,,,,,,
33005046,0.013,4,4,4,4,0.91,0.84,21.30,0.07,4.16,74.2,2.74,0.31,,,,,,,,,,,
33005047,0.005,4,4,4,4,0.59,0.84,19.80,0.07,4.49,79.2,2.74,0.24,,,,,,,,,,,
33005048,0,0,0,0,0,0.00,0.84,0.00,0.07,4.85,83.5,2.74,0.2,,,,,,,,,,,
33005049,0.049,4,4,4,4,2.11,0.84,22.10,0.07,3.91,51.9,2.74,0.51,,,,,,,,,,,
33005050,0.037,4,4,4,4,1.75,0.84,21.40,0.07,4.08,58.6,2.74,0.55,,,,,,,,,,,
33005051,0.026,4,4,4,4,1.40,0.84,20.50,0.07,4.30,64.8,2.74,0.37,,,,,,,,,,,
33005052,0.016,4,4,4,4,1.07,0.84,19.40,0.07,4.56,70.3,2.74,0.35,,,,,,,,,,,
33005053,0.009,4,4,4,4,0.77,0.84,18.20,0.07,4.86,75.1,2.74,0.24,,,,,,,,,,,
33005054,0.004,4,4,4,4,0.51,0.84,17.10,0.07,5.20,79.4,2.74,0.16,,,,,,,,,,,
33005055,0.034,4,4,4,4,1.80,0.84,19.20,0.07,4.55,56.2,2.74,0.39,,,,,,,,,,,
33005056,0.025,4,4,4,4,1.50,0.84,18.50,0.07,4.74,61.9,2.74,0.26,,,,,,,,,,,
33005057,0.018,4,4,4,4,1.20,0.84,17.70,0.07,4.98,67.0,2.74,0.27,,,,,,,,,,,
33005058,0.012,4,4,4,4,0.93,0.84,16.80,0.07,5.26,71.7,2.74,0.25,,,,,,,,,,,
33005059,0.018,4,4,4,4,1.31,0.84,16.30,0.07,5.42,64.3,2.74,0.32,,,,,,,,,,,
33005060,0.013,4,4,4,4,1.06,0.84,15.60,0.07,5.67,68.7,2.74,0.26,,,,,,,,,,,
33006000,0.167,0,0,0,0,1.34,0.84,47.30,0.07,0.99,19.0,2.88,1.07,,,,,,,,,,,
33006001,0.084,1,1,1,3,2.84,0.84,57.90,0.07,0.64,7.5,2.88,1.64,,,,,,,,,,,
33006002,0.194,0,0,0,0,1.01,0.84,39.50,0.07,1.34,1.3,2.88,0.94,,,,,,,,,,,
33006003,0.179,2,2,2,2,1.17,0.84,44.30,0.07,1.11,19.8,2.88,2.09,,,,,,,,,,,
