Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
MMRRRPPP,steradians,0 to 4,0 to 4,0 to 4,0 to 4,,0-1,degrees,steradians,meters,degrees,meters,%,,,,,,,,,,,
String (10 char.),Float  (1 decimal),vector 4 components,vector 4 components,vector 4 components,vector 4 components,,Float (2 decimals),Float (2 decimals),Float  (1 decimal),Float (2 decimals),Float (1 decimal),Float (2 decimals),Float (2 decimals),,,,,,,,,,,
27145075,0.205,2,2,2,0,0.58,0.67,12.90,0.31,6.36,17.41,4.6,0.57,,,,,,,,,,,
27145076,0.182,3,3,3,0,0.56,0.67,12.40,0.31,6.73,20.34,4.6,0.56,,,,,,,,,,,
27145077,0.162,3,3,3,1,0.55,0.67,11.80,0.31,7.11,22.96,4.6,0.65,,,,,,,,,,,
27145078,0.144,4,4,4,1,0.53,0.67,11.30,0.31,7.51,25.31,4.6,0.6,,,,,,,,,,,
27145079,0.128,4,4,4,1,0.52,0.67,10.80,0.31,7.93,27.41,4.6,0.59,,,,,,,,,,,
27145080,0.2,0,0,0,0,0.31,0.67,17.20,0.31,4.31,55.09,4.6,0.75,,,,,,,,,,,
27145081,0.258,0,0,0,0,0.38,0.67,17.70,0.31,4.12,48.82,4.6,0.73,,,,,,,,,,,
27145082,0.314,0,0,0,0,0.45,0.67,18.00,0.31,3.98,42.03,4.6,0.85,,,,,,,,,,,
27145083,0.362,0,0,0,0,0.51,0.67,18.30,0.31,3.89,34.84,4.6,0.86,,,,,,,,,,,
27145084,0.396,0,0,0,0,0.56,0.67,18.30,0.31,3.88,27.46,4.6,0.97,,,,,,,,,,,
27145085,0.415,0,0,0,0,0.60,0.67,18.20,0.31,3.92,20.14,4.6,1.09,,,,,,,,,,,
27145086,0.312,1,1,1,0,0.62,0.67,15.50,0.31,4.97,9.66,4.6,0.68,,,,,,,,,,,
27145087,0.28,1,1,1,0,0.61,0.67,14.90,0.31,5.30,13.88,4.6,0.75,,,,,,,,,,,
27145088,0.248,2,2,2,0,0.59,0.67,14.20,0.31,5.65,17.60,4.6,0.74,,,,,,,,,,,
27145089,0.218,3,3,3,0,0.57,0.67,13.50,0.31,6.02,20.86,4.6,0.77,,,,,,,,,,,
27145090,0.191,3,3,3,0,0.55,0.67,12.80,0.31,6.41,23.74,4.6,0.87,,,,,,,,,,,
27145091,0.168,4,4,4,1,0.53,0.67,12.20,0.31,6.82,26.28,4.6,0.75,,,,,,,,,,,
27145092,0.148,4,4,4,1,0.51,0.67,11.70,0.31,7.24,28.53,4.6,0.79,,,,,,,,,,,
27145093,0.21,0,0,0,0,0.29,0.67,18.30,0.31,3.87,58.34,4.6,0.76,,,,,,,,,,,
27145094,0.288,0,0,0,0,0.37,0.67,18.90,0.31,3.65,51.48,4.6,0.74,,,,,,,,,,,
27145095,0.366,0,0,0,0,0.45,0.67,19.40,0.31,3.49,43.86,4.6,0.8,,,,,,,,,,,
27145096,0.432,0,0,0,0,0.52,0.67,19.80,0.31,3.40,35.68,4.6,0.99,,,,,,,,,,,
27145097,0.477,0,0,0,0,0.58,0.67,19.90,0.31,3.38,27.22,4.6,1.14,,,,,,,,,,,
27145098,0.497,2,0,1,0,0.62,0.67,19.70,0.31,3.43,18.84,4.6,1.44,,,,,,,,,,,
27145099,0.487,0,0,0,0,0.64,0.67,19.40,0.31,3.55,10.88,4.6,1.22,,,,,,,,,,,
27145100,0.461,0,0,0,0,0.64,0.67,18.80,0.31,3.74,3.58,4.6,1.19,,,,,,,,,,,
27145101,0.346,1,1,1,0,0.62,0.67,16.40,0.31,4.59,13.57,4.6,0.94,,,,,,,,,,,
27145102,0.303,2,2,2,0,0.60,0.67,15.60,0.31,4.94,17.84,4.6,0.93,,,,,,,,,,,
27145103,0.264,3,3,3,0,0.57,0.67,14.80,0.31,5.32,21.52,4.6,0.99,,,,,,,,,,,
27145104,0.229,3,3,3,0,0.55,0.67,14.10,0.31,5.71,24.70,4.6,0.98,,,,,,,,,,,
27145105,0.198,4,4,4,1,0.53,0.67,13.30,0.31,6.12,27.47,4.6,0.72,,,,,,,,,,,
27145106,0.173,4,4,4,1,0.51,0.67,12.60,0.31,6.55,29.88,4.6,0.83,,,,,,,,,,,
27145107,0.151,4,4,4,1,0.49,0.67,12.00,0.31,6.98,32.00,4.6,0.71,,,,,,,,,,,
27145108,0.124,0,0,0,0,0.16,0.67,18.50,0.31,3.74,68.83,4.6,0.68,,,,,,,,,,,
27145109,0.211,0,0,0,0,0.25,0.67,19.30,0.31,3.44,62.41,4.6,0.84,,,,,,,,,,,
27145110,0.318,0,0,0,0,0.34,0.67,20.10,0.31,3.19,54.89,4.6,0.83,,,,,,,,,,,
27145111,0.429,0,0,0,0,0.44,0.67,20.80,0.31,3.01,46.29,4.6,0.82,,,,,,,,,,,
27145112,0.522,1,0,1,0,0.53,0.67,21.40,0.31,2.90,36.81,4.6,1.03,,,,,,,,,,,
27145113,0.582,2,0,1,0,0.61,0.67,21.60,0.31,2.88,26.90,4.6,1.31,,,,,,,,,,,
27145114,0.598,2,0,0,0,0.65,0.67,21.50,0.31,2.94,17.11,4.6,1.49,,,,,,,,,,,
27145115,0.576,0,0,0,0,0.66,0.67,21.00,0.31,3.08,7.98,4.6,1.59,,,,,,,,,,,
27145116,0.537,1,1,1,0,0.66,0.67,20.20,0.31,3.29,0.16,4.6,1.42,,,,,,,,,,,
27145117,0.487,1,1,1,0,0.65,0.67,19.30,0.31,3.57,7.19,4.6,1.34,,,,,,,,,,,
27145118,0.434,1,1,1,0,0.63,0.67,18.30,0.31,3.88,13.15,4.6,1.31,,,,,,,,,,,
27145119,0.378,2,2,2,0,0.61,0.67,17.40,0.31,4.24,18.16,4.6,1.23,,,,,,,,,,,
27145120,0.324,3,3,3,0,0.58,0.67,16.40,0.31,4.61,22.38,4.6,1.09,,,,,,,,,,,
27145121,0.277,3,3,3,0,0.55,0.67,15.50,0.31,5.02,25.94,4.6,1.17,,,,,,,,,,,
27145122,0.237,4,4,4,0,0.53,0.67,14.60,0.31,5.43,28.96,4.6,1.07,,,,,,,,,,,
27145123,0.203,4,4,4,1,0.50,0.67,13.80,0.31,5.86,31.55,4.6,0.86,,,,,,,,,,,
27145124,0.174,4,4,4,1,0.48,0.67,13.00,0.31,6.30,33.78,4.6,0.97,,,,,,,,,,,
27145125,0.082,3,3,3,0,0.10,0.67,19.40,0.31,3.37,74.27,4.6,0.64,,,,,,,,,,,
27145126,0.189,0,0,0,0,0.20,0.67,20.20,0.31,3.03,67.60,4.6,0.78,,,,,,,,,,,
27145127,0.338,0,0,0,0,0.31,0.67,21.20,0.31,2.75,59.43,4.6,0.82,,,,,,,,,,,
27145128,0.504,0,0,0,0,0.44,0.67,22.20,0.31,2.54,49.63,4.6,0.9,,,,,,,,,,,
27145129,0.641,1,0,1,0,0.56,0.67,23.20,0.31,2.41,38.41,4.6,1.31,,,,,,,,,,,
27145130,0.719,2,0,1,0,0.64,0.67,23.70,0.31,2.38,26.44,4.6,1.77,,,,,,,,,,,
27145131,0.721,3,0,3,0,0.67,0.67,23.50,0.31,2.45,14.68,4.6,1.99,,,,,,,,,,,
27145132,0.683,3,1,3,0,0.68,0.67,22.80,0.31,2.62,4.04,4.6,1.91,,,,,,,,,,,
27145133,0.623,1,1,1,0,0.67,0.67,21.80,0.31,2.87,5.05,4.6,1.94,,,,,,,,,,,
27145134,0.553,1,1,1,0,0.65,0.67,20.60,0.31,3.18,12.53,4.6,1.98,,,,,,,,,,,
27145135,0.481,4,2,2,0,0.62,0.67,19.40,0.31,3.53,18.61,4.6,1.7,,,,,,,,,,,
27145136,0.405,2,3,2,0,0.59,0.67,18.20,0.31,3.91,23.55,4.6,1.47,,,,,,,,,,,
27145137,0.34,3,3,3,0,0.55,0.67,17.10,0.31,4.32,27.57,4.6,1.23,,,,,,,,,,,
27145138,0.285,4,4,4,0,0.52,0.67,16.10,0.31,4.75,30.89,4.6,1.15,,,,,,,,,,,
27145139,0.24,4,4,4,1,0.50,0.67,15.10,0.31,5.19,33.66,4.6,1.03,,,,,,,,,,,
27145140,0.203,4,4,4,1,0.47,0.67,14.20,0.31,5.63,35.98,4.6,0.96,,,,,,,,,,,
27145141,0.173,4,4,4,1,0.45,0.67,13.40,0.31,6.09,37.97,4.6,0.94,,,,,,,,,,,
27145142,0.122,4,2,2,0,0.11,0.67,20.70,0.31,2.66,74.32,4.6,0.69,,,,,,,,,,,
27145143,0.326,1,0,0,0,0.26,0.67,21.70,0.31,2.33,65.64,4.6,0.8,,,,,,,,,,,
27145144,0.589,0,0,0,0,0.43,0.67,23.30,0.31,2.08,54.48,4.6,0.98,,,,,,,,,,,
27145145,0.801,1,0,1,0,0.59,0.67,25.30,0.31,1.91,40.84,4.6,1.8,,,,,,,,,,,
27145146,0.887,2,0,2,0,0.68,0.67,26.30,0.31,1.88,25.73,4.6,2.53,,,,,,,,,,,
27145147,0.869,3,1,2,0,0.71,0.67,26.10,0.31,1.97,11.06,4.6,2.76,,,,,,,,,,,
27145148,0.807,3,1,3,0,0.70,0.67,25.00,0.31,2.18,1.54,4.6,3.05,,,,,,,,,,,
27145149,0.718,4,1,4,0,0.68,0.67,23.50,0.31,2.47,11.57,4.6,2.95,,,,,,,,,,,
27145150,0.62,4,2,2,0,0.64,0.67,21.90,0.31,2.82,19.29,4.6,2.29,,,,,,,,,,,
27145151,0.516,2,2,3,0,0.60,0.67,20.40,0.31,3.21,25.22,4.6,2.04,,,,,,,,,,,
27145152,0.423,3,3,3,0,0.56,0.67,19.10,0.31,3.63,29.83,4.6,1.7,,,,,,,,,,,
27145153,0.346,4,4,4,0,0.52,0.67,17.80,0.31,4.07,33.47,4.6,1.65,,,,,,,,,,,
27145154,0.285,4,4,4,1,0.48,0.67,16.70,0.31,4.52,36.39,4.6,1.46,,,,,,,,,,,
27145155,0.236,4,4,4,1,0.46,0.67,15.60,0.31,4.98,38.78,4.6,1.07,,,,,,,,,,,
27145156,0.198,4,4,4,1,0.44,0.67,14.60,0.31,5.44,40.76,4.6,1.07,,,,,,,,,,,
27145157,0.214,4,1,0,0,0.15,0.67,21.10,0.31,1.95,74.41,4.6,0.83,,,,,,,,,,,
27145158,0.659,3,0,0,0,0.40,0.67,24.00,0.31,1.64,62.01,4.6,0.95,,,,,,,,,,,
27145159,1.007,1,0,1,0,0.65,0.67,28.50,0.31,1.43,44.92,4.6,2.77,,,,,,,,,,,
27145160,1.066,2,1,1,0,0.76,0.67,30.40,0.31,1.38,24.51,4.6,3.72,,,,,,,,,,,
27145161,1.023,3,1,3,0,0.77,0.67,29.60,0.31,1.50,5.16,4.6,4.04,,,,,,,,,,,
27145162,0.939,1,2,2,0,0.73,0.67,27.40,0.31,1.77,9.83,4.6,4.2,,,,,,,,,,,
27145163,0.814,3,2,3,0,0.68,0.67,25.10,0.31,2.12,20.42,4.6,3.55,,,,,,,,,,,
27145164,0.672,4,2,4,0,0.62,0.67,23.00,0.31,2.52,27.82,4.6,2.82,,,,,,,,,,,
27145165,0.534,4,3,4,0,0.56,0.67,21.30,0.31,2.95,33.13,4.6,2.58,,,,,,,,,,,
27145166,0.423,4,4,4,0,0.51,0.67,19.70,0.31,3.40,37.06,4.6,1.88,,,,,,,,,,,
27145167,0.339,4,4,4,0,0.47,0.67,18.40,0.31,3.86,40.06,4.6,1.55,,,,,,,,,,,
27145168,0.274,4,4,4,1,0.44,0.67,17.10,0.31,4.33,42.42,4.6,1.3,,,,,,,,,,,
27145169,0.224,4,4,4,1,0.41,0.67,16.00,0.31,4.81,44.30,4.6,1.15,,,,,,,,,,,
27145170,0.186,4,4,4,1,0.39,0.67,14.90,0.31,5.29,45.85,4.6,1.07,,,,,,,,,,,
27145171,1.062,3,0,2,0,0.78,0.67,37.60,0.31,0.96,53.11,4.6,5.24,,,,,,,,,,,
27145172,1.12,1,1,2,0,0.91,0.67,38.70,0.31,0.88,21.92,4.6,6.33,,,,,,,,,,,
27145173,1.124,3,2,3,0,0.86,0.67,34.90,0.31,1.07,5.80,4.6,5.96,,,,,,,,,,,
27145174,1.055,2,2,3,1,0.75,0.67,30.10,0.31,1.41,22.67,4.6,5.58,,,,,,,,,,,
27145175,0.888,4,2,3,0,0.66,0.67,26.30,0.31,1.83,32.39,4.6,4.19,,,,,,,,,,,
27145176,0.681,4,3,4,0,0.57,0.67,23.70,0.31,2.28,38.39,4.6,3.06,,,,,,,,,,,
27145177,0.516,4,4,4,0,0.50,0.67,21.80,0.31,2.75,42.38,4.6,2.45,,,,,,,,,,,
27145178,0.397,4,4,4,0,0.44,0.67,20.20,0.31,3.23,45.20,4.6,1.89,,,,,,,,,,,
27145179,0.311,4,4,4,1,0.41,0.67,18.70,0.31,3.71,47.29,4.6,1.45,,,,,,,,,,,
27145180,0.249,4,4,4,1,0.38,0.67,17.40,0.31,4.20,48.89,4.6,1.36,,,,,,,,,,,
27145181,0.203,4,4,4,1,0.36,0.67,16.30,0.31,4.69,50.17,4.6,1.32,,,,,,,,,,,
27145182,1.045,2,2,0,0,1.01,0.67,44.00,0.31,0.72,29.35,4.6,8.79,,,,,,,,,,,
27145183,1.122,4,1,1,0,0.74,0.67,32.40,0.31,1.17,42.26,4.6,7.21,,,,,,,,,,,
27145184,0.863,4,3,4,0,0.57,0.67,26.20,0.31,1.65,47.81,4.6,4.24,,,,,,,,,,,
27145185,0.612,4,4,4,0,0.46,0.67,23.40,0.31,2.14,50.84,4.6,2.86,,,,,,,,,,,
27145186,0.444,4,4,4,0,0.40,0.67,21.80,0.31,2.64,52.74,4.6,1.98,,,,,,,,,,,
27145187,0.335,4,4,4,0,0.36,0.67,20.30,0.31,3.13,54.04,4.6,1.67,,,,,,,,,,,
27145188,0.262,4,4,4,1,0.33,0.67,18.90,0.31,3.63,54.98,4.6,1.39,,,,,,,,,,,
27145189,0.21,4,4,4,1,0.31,0.67,17.60,0.31,4.13,55.70,4.6,1.21,,,,,,,,,,,
27145190,0.594,2,4,3,0,0.35,0.67,23.40,0.31,1.61,65.36,4.6,3.24,,,,,,,,,,,
27145191,0.41,4,4,4,0,0.29,0.67,22.20,0.31,2.11,64.31,4.6,2.11,,,,,,,,,,,
27145192,0.304,4,4,4,0,0.26,0.67,21.30,0.31,2.61,63.66,4.6,1.63,,,,,,,,,,,
27145193,0.237,4,4,4,1,0.25,0.67,20.10,0.31,3.11,63.22,4.6,1.37,,,,,,,,,,,
27145194,0.191,4,4,4,1,0.24,0.67,18.90,0.31,3.61,62.90,4.6,1.3,,,,,,,,,,,
27145195,0.157,4,4,4,1,0.23,0.67,17.60,0.31,4.11,62.65,4.6,1.15,,,,,,,,,,,
27145196,0.119,4,4,4,0,0.11,0.67,20.70,0.31,2.68,74.38,4.6,0.99,,,,,,,,,,,
27145197,0.117,4,4,4,1,0.13,0.67,19.80,0.31,3.17,72.28,4.6,0.98,,,,,,,,,,,
27145198,0.108,4,4,4,1,0.14,0.67,18.70,0.31,3.66,70.74,4.6,0.83,,,,,,,,,,,
27145199,0.008,3,3,3,1,0.00,0.67,19.40,0.31,3.31,80.80,4.6,0.6,,,,,,,,,,,
27145200,0.03,4,4,4,2,0.04,0.67,18.40,0.31,3.78,78.22,4.6,0.62,,,,,,,,,,,
27146000,0.032,4,4,4,4,1.75,0.37,5.80,0.09,3.90,0.71,1.49,0.14,,,,,,,,,,,
27146001,0.045,3,3,3,3,1.77,0.37,7.00,0.09,3.23,2.58,1.49,0.09,,,,,,,,,,,
27146002,0.039,4,4,4,4,1.76,0.37,6.50,0.09,3.48,4.81,1.49,0.1,,,,,,,,,,,
27146003,0.032,4,4,4,4,1.67,0.37,6.00,0.09,3.78,11.11,1.49,0.12,,,,,,,,,,,
27146004,0.058,4,4,4,4,1.78,0.37,8.10,0.09,2.79,2.01,1.49,0.1,,,,,,,,,,,
27146005,0.048,4,4,4,4,1.74,0.37,7.40,0.09,3.08,10.01,1.49,0.11,,,,,,,,,,,
27146006,0.036,4,4,4,4,1.57,0.37,6.60,0.09,3.41,16.53,1.49,0.09,,,,,,,,,,,
27146007,0.09,3,3,3,3,1.82,0.37,10.60,0.09,2.11,2.61,1.49,0.17,,,,,,,,,,,
27146008,0.075,4,4,4,4,1.80,0.37,9.50,0.09,2.37,8.25,1.49,0.14,,,,,,,,,,,
27146009,0.055,4,4,4,4,1.63,0.37,8.40,0.09,2.71,16.70,1.49,0.21,,,,,,,,,,,
27146010,0.151,2,2,2,4,1.92,0.37,15.20,0.09,1.46,11.48,1.49,0.33,,,,,,,,,,,
27146011,0.126,3,3,3,4,1.88,0.37,13.20,0.09,1.68,5.03,1.49,0.38,,,,,,,,,,,
27146012,0.093,4,4,4,4,1.75,0.37,11.20,0.09,2.00,16.98,1.49,0.24,,,,,,,,,,,
27146013,0.223,2,2,4,4,2.18,0.37,21.40,0.09,0.99,2.70,1.49,0.9,,,,,,,,,,,
27146014,0.173,4,4,4,4,1.96,0.37,17.00,0.09,1.29,17.56,1.49,0.63,,,,,,,,,,,
27146015,0.098,4,4,4,4,1.49,0.37,13.30,0.09,1.69,29.26,1.49,0.35,,,,,,,,,,,
27146016,0.171,4,4,4,4,1.71,0.37,21.80,0.09,1.02,38.50,1.49,0.79,,,,,,,,,,,
27147000,0.082,3,3,3,3,1.99,0.48,-1.10,0.19,2.20,7.03,1.01,0.21,,,,,,,,,,,
27147001,0.102,2,2,2,2,2.00,0.48,-1.30,0.19,1.94,4.96,1.01,0.22,,,,,,,,,,,
27147002,0.156,3,3,3,3,2.00,0.48,-1.70,0.19,1.50,2.86,1.01,0.3,,,,,,,,,,,
27147003,0.246,2,2,2,3,1.97,0.48,-2.20,0.19,1.11,16.66,1.01,0.26,,,,,,,,,,,
27147004,0.365,4,3,3,4,1.99,0.48,-3.00,0.19,0.83,8.25,1.01,0.33,,,,,,,,,,,
27148000,0.066,2,3,3,3,1.64,0.67,11.50,0.21,11.96,16.52,4.57,0.48,,,,,,,,,,,
27148001,0.069,3,4,4,4,1.63,0.67,11.90,0.21,11.61,18.29,4.57,0.74,,,,,,,,,,,
27148002,0.067,1,2,3,3,1.68,0.67,11.50,0.21,11.97,13.14,4.57,0.56,,,,,,,,,,,
27148003,0.07,1,3,3,3,1.67,0.67,11.90,0.21,11.61,14.80,4.57,0.54,,,,,,,,,,,
27148004,0.073,2,4,4,4,1.65,0.67,12.20,0.21,11.25,16.56,4.57,0.63,,,,,,,,,,,
27148005,0.077,3,4,4,4,1.64,0.67,12.60,0.21,10.91,18.44,4.57,0.57,,,,,,,,,,,
27148006,0.08,3,4,4,4,1.62,0.67,13.00,0.21,10.58,20.44,4.57,0.56,,,,,,,,,,,
27148007,0.068,1,1,3,3,1.70,0.67,11.40,0.21,12.03,9.77,4.57,0.41,,,,,,,,,,,
27148008,0.071,2,3,3,3,1.70,0.67,11.80,0.21,11.64,11.32,4.57,0.55,,,,,,,,,,,
27148009,0.075,2,3,3,3,1.69,0.67,12.20,0.21,11.27,12.96,4.57,0.5,,,,,,,,,,,
27148010,0.079,1,3,3,3,1.68,0.67,12.60,0.21,10.90,14.73,4.57,0.51,,,,,,,,,,,
27148011,0.082,2,4,4,4,1.66,0.67,13.00,0.21,10.54,16.61,4.57,0.63,,,,,,,,,,,
27148012,0.086,3,4,4,4,1.64,0.67,13.40,0.21,10.20,18.62,4.57,0.57,,,,,,,,,,,
27148013,0.09,3,4,4,4,1.62,0.67,13.80,0.21,9.87,20.76,4.57,0.68,,,,,,,,,,,
27148014,0.071,1,2,2,2,1.71,0.67,11.70,0.21,11.72,7.87,4.57,0.49,,,,,,,,,,,
27148015,0.075,1,3,3,3,1.71,0.67,12.10,0.21,11.32,9.39,4.57,0.45,,,,,,,,,,,
27148016,0.079,2,3,3,3,1.71,0.67,12.50,0.21,10.94,11.02,4.57,0.46,,,,,,,,,,,
27148017,0.084,2,3,3,3,1.70,0.67,13.00,0.21,10.56,12.77,4.57,0.52,,,,,,,,,,,
27148018,0.088,1,3,3,3,1.69,0.67,13.40,0.21,10.19,14.64,4.57,0.57,,,,,,,,,,,
27148019,0.093,2,4,4,4,1.67,0.67,13.90,0.21,9.84,16.66,4.57,0.81,,,,,,,,,,,
27148020,0.097,3,4,4,4,1.65,0.67,14.40,0.21,9.50,18.82,4.57,0.62,,,,,,,,,,,
27148021,0.102,3,4,4,4,1.63,0.67,14.80,0.21,9.17,21.14,4.57,0.64,,,,,,,,,,,
27148022,0.106,3,3,4,4,1.61,0.67,15.40,0.21,8.86,23.63,4.57,0.83,,,,,,,,,,,
27148023,0.07,2,2,2,2,1.72,0.67,11.60,0.21,11.84,4.48,4.57,0.46,,,,,,,,,,,
27148024,0.074,2,2,2,2,1.72,0.67,12.00,0.21,11.43,5.86,4.57,0.46,,,,,,,,,,,
27148025,0.079,1,2,2,2,1.72,0.67,12.40,0.21,11.02,7.35,4.57,0.46,,,,,,,,,,,
27148026,0.084,1,3,3,3,1.72,0.67,12.90,0.21,10.62,8.96,4.57,0.49,,,,,,,,,,,
27148027,0.089,2,3,3,3,1.72,0.67,13.30,0.21,10.23,10.68,4.57,0.51,,,,,,,,,,,
27148028,0.095,2,3,3,3,1.71,0.67,13.80,0.21,9.85,12.54,4.57,0.55,,,,,,,,,,,
27148029,0.1,2,3,3,3,1.70,0.67,14.30,0.21,9.49,14.55,4.57,0.68,,,,,,,,,,,
27148030,0.105,2,4,4,4,1.69,0.67,14.90,0.21,9.13,16.71,4.57,0.73,,,,,,,,,,,
27148031,0.111,3,4,4,4,1.67,0.67,15.40,0.21,8.79,19.05,4.57,0.79,,,,,,,,,,,
27148032,0.116,3,4,4,4,1.64,0.67,16.00,0.21,8.46,21.57,4.57,0.87,,,,,,,,,,,
27148033,0.12,3,3,4,4,1.61,0.67,16.60,0.21,8.16,24.29,4.57,0.96,,,,,,,,,,,
27148034,0.125,3,3,4,4,1.58,0.67,17.20,0.21,7.87,27.22,4.57,0.98,,,,,,,,,,,
27148035,0.078,2,2,2,2,1.73,0.67,12.30,0.21,11.15,3.76,4.57,0.41,,,,,,,,,,,
27148036,0.083,2,2,2,2,1.73,0.67,12.70,0.21,10.73,5.21,4.57,0.55,,,,,,,,,,,
27148037,0.089,2,2,2,2,1.73,0.67,13.20,0.21,10.32,6.77,4.57,0.47,,,,,,,,,,,
27148038,0.094,1,3,3,3,1.73,0.67,13.70,0.21,9.92,8.46,4.57,0.56,,,,,,,,,,,
27148039,0.101,2,3,3,3,1.73,0.67,14.30,0.21,9.53,10.29,4.57,0.62,,,,,,,,,,,
27148040,0.107,2,3,3,3,1.73,0.67,14.80,0.21,9.15,12.28,4.57,0.58,,,,,,,,,,,
27148041,0.114,3,4,4,4,1.72,0.67,15.40,0.21,8.78,14.44,4.57,0.7,,,,,,,,,,,
27148042,0.12,3,4,4,4,1.70,0.67,16.00,0.21,8.42,16.78,4.57,0.84,,,,,,,,,,,
27148043,0.127,4,4,4,4,1.68,0.67,16.70,0.21,8.08,19.33,4.57,0.95,,,,,,,,,,,
27148044,0.133,4,4,4,4,1.66,0.67,17.30,0.21,7.76,22.09,4.57,0.99,,,,,,,,,,,
27148045,0.138,3,3,4,4,1.63,0.67,18.00,0.21,7.46,25.08,4.57,1.05,,,,,,,,,,,
27148046,0.143,3,3,4,4,1.59,0.67,18.70,0.21,7.18,28.32,4.57,1.1,,,,,,,,,,,
27148047,0.146,2,3,3,4,1.54,0.67,19.40,0.21,6.92,31.81,4.57,1.23,,,,,,,,,,,
27148048,0.093,2,2,2,2,1.74,0.67,13.60,0.21,10.04,4.46,4.57,0.41,,,,,,,,,,,
27148049,0.1,2,2,2,2,1.74,0.67,14.10,0.21,9.62,6.10,4.57,0.5,,,,,,,,,,,
27148050,0.107,2,3,3,3,1.74,0.67,14.70,0.21,9.22,7.89,4.57,0.5,,,,,,,,,,,
27148051,0.114,1,3,3,3,1.74,0.67,15.30,0.21,8.83,9.85,4.57,0.66,,,,,,,,,,,
27148052,0.122,2,3,3,3,1.74,0.67,16.00,0.21,8.44,11.98,4.57,0.71,,,,,,,,,,,
27148053,0.13,3,4,4,4,1.74,0.67,16.60,0.21,8.07,14.31,4.57,0.92,,,,,,,,,,,
27148054,0.138,4,4,4,4,1.72,0.67,17.40,0.21,7.72,16.86,4.57,0.99,,,,,,,,,,,
27148055,0.146,4,4,4,4,1.70,0.67,18.10,0.21,7.38,19.65,4.57,1.14,,,,,,,,,,,
27148056,0.153,3,3,4,4,1.68,0.67,18.90,0.21,7.06,22.71,4.57,1.17,,,,,,,,,,,
27148057,0.16,3,3,4,4,1.64,0.67,19.70,0.21,6.76,26.04,4.57,1.32,,,,,,,,,,,
27148058,0.165,3,3,4,4,1.60,0.67,20.50,0.21,6.49,29.67,4.57,1.52,,,,,,,,,,,
27148059,0.168,2,3,4,4,1.54,0.67,21.30,0.21,6.24,33.59,4.57,1.56,,,,,,,,,,,
27148060,0.168,2,2,4,4,1.47,0.67,22.10,0.21,6.03,37.82,4.57,1.61,,,,,,,,,,,
27148061,0.113,2,2,2,2,1.76,0.67,15.10,0.21,8.93,5.33,4.57,0.6,,,,,,,,,,,
27148062,0.121,2,3,3,3,1.76,0.67,15.80,0.21,8.52,7.23,4.57,0.68,,,,,,,,,,,
27148063,0.13,2,3,3,3,1.76,0.67,16.50,0.21,8.12,9.32,4.57,0.89,,,,,,,,,,,
27148064,0.14,3,3,3,3,1.76,0.67,17.30,0.21,7.74,11.62,4.57,0.98,,,,,,,,,,,
27148065,0.15,4,4,4,4,1.76,0.67,18.10,0.21,7.36,14.16,4.57,1.03,,,,,,,,,,,
27148066,0.16,4,4,4,4,1.75,0.67,18.90,0.21,7.01,16.96,4.57,1.2,,,,,,,,,,,
27148067,0.169,4,4,4,4,1.73,0.67,19.80,0.21,6.67,20.05,4.57,1.33,,,,,,,,,,,
27148068,0.178,3,3,4,4,1.70,0.67,20.80,0.21,6.36,23.46,4.57,1.38,,,,,,,,,,,
27148069,0.185,3,3,4,4,1.66,0.67,21.70,0.21,6.06,27.21,4.57,1.51,,,,,,,,,,,
27148070,0.191,3,3,4,4,1.61,0.67,22.70,0.21,5.80,31.33,4.57,1.83,,,,,,,,,,,
27148071,0.193,2,3,4,4,1.55,0.67,23.60,0.21,5.57,35.80,4.57,1.79,,,,,,,,,,,
27148072,0.191,1,3,4,4,1.46,0.67,24.60,0.21,5.38,40.63,4.57,2.08,,,,,,,,,,,
27148073,0.128,2,2,2,2,1.77,0.67,16.30,0.21,8.23,4.42,4.57,0.65,,,,,,,,,,,
27148074,0.139,2,2,2,2,1.78,0.67,17.10,0.21,7.82,6.45,4.57,0.81,,,,,,,,,,,
27148075,0.15,3,3,3,3,1.78,0.67,17.90,0.21,7.42,8.69,4.57,0.94,,,,,,,,,,,
27148076,0.161,3,3,3,3,1.78,0.67,18.80,0.21,7.03,11.19,4.57,1.11,,,,,,,,,,,
27148077,0.174,4,4,4,4,1.78,0.67,19.80,0.21,6.66,13.97,4.57,1.3,,,,,,,,,,,
27148078,0.186,4,4,4,4,1.78,0.67,20.80,0.21,6.30,17.08,4.57,1.43,,,,,,,,,,,
27148079,0.198,3,4,4,2,1.76,0.67,21.90,0.21,5.97,20.54,4.57,1.4,,,,,,,,,,,
27148080,0.208,3,4,4,4,1.74,0.67,23.00,0.21,5.66,24.40,4.57,1.57,,,,,,,,,,,
27148081,0.216,3,3,4,4,1.70,0.67,24.20,0.21,5.37,28.69,4.57,1.81,,,,,,,,,,,
