Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
24002117,0.212,4,4,4,4,2.44,0.75,41.80,0.14,2.621545,45.114625,3.92,3.78,,,,,,,,,,,
24002118,0.216,4,4,4,4,2.36,0.75,37.30,0.14,2.995413,38.322499,3.92,3.38,,,,,,,,,,,
24002119,0.206,4,4,4,4,2.29,0.75,33.40,0.14,3.401837,33.093303,3.92,2.77,,,,,,,,,,,
24002120,0.19,4,4,4,4,2.24,0.75,30.20,0.14,3.83047,29.006302,3.92,2.59,,,,,,,,,,,
24002121,0.173,4,4,4,4,2.21,0.75,27.40,0.14,4.274634,25.754798,3.92,2.28,,,,,,,,,,,
24002122,0.156,4,4,4,4,2.18,0.75,25.10,0.14,4.729957,23.122115,3.92,1.69,,,,,,,,,,,
24002123,0.14,4,4,4,4,2.16,0.75,23.10,0.14,5.193505,20.95547,3.92,1.66,,,,,,,,,,,
24002124,0.125,4,4,4,4,2.14,0.75,21.30,0.14,5.663259,19.146017,3.92,1.27,,,,,,,,,,,
24002125,0.112,4,4,4,4,2.12,0.75,19.80,0.14,6.137793,17.615017,3.92,0.95,,,,,,,,,,,
24002126,0.101,4,4,4,4,2.11,0.75,18.50,0.14,6.616079,16.304547,3.92,0.98,,,,,,,,,,,
24002127,0.091,4,4,4,4,2.10,0.75,17.30,0.14,7.097359,15.171278,3.92,0.86,,,,,,,,,,,
24002128,0.082,4,4,4,4,2.09,0.75,16.30,0.14,7.581062,14.182277,3.92,0.66,,,,,,,,,,,
24002129,0.074,4,4,4,4,2.09,0.75,15.40,0.14,8.066753,13.312135,3.92,0.57,,,,,,,,,,,
24002130,0.068,3,3,3,3,2.08,0.75,14.60,0.14,8.554092,12.540979,3.92,0.6,,,,,,,,,,,
24002131,0.062,3,3,3,3,2.07,0.75,13.80,0.14,9.042815,11.853064,3.92,0.58,,,,,,,,,,,
24002132,0.057,3,3,3,3,2.07,0.75,13.10,0.14,9.532707,11.235772,3.92,0.44,,,,,,,,,,,
24002133,0.052,3,3,3,3,2.06,0.75,12.50,0.14,10.023597,10.678882,3.92,0.41,,,,,,,,,,,
24002134,0.081,4,4,4,4,1.72,0.75,46.60,0.14,2.505976,70.172515,3.92,1.99,,,,,,,,,,,
24002135,0.143,4,4,4,4,1.87,0.75,42.60,0.14,2.7166,60.20193,3.92,2.85,,,,,,,,,,,
24002136,0.173,4,4,4,4,1.97,0.75,38.50,0.14,2.996651,51.876694,3.92,2.92,,,,,,,,,,,
24002137,0.181,4,4,4,4,2.01,0.75,34.80,0.14,3.328651,45.090275,3.92,2.54,,,,,,,,,,,
24002138,0.178,4,4,4,4,2.04,0.75,31.60,0.14,3.698637,39.596323,3.92,2.5,,,,,,,,,,,
24002139,0.167,4,4,4,4,2.05,0.75,28.80,0.14,4.096329,35.134303,3.92,2.25,,,,,,,,,,,
24002140,0.155,4,4,4,4,2.05,0.75,26.40,0.14,4.514412,31.479807,3.92,1.79,,,,,,,,,,,
24002141,0.141,4,4,4,4,2.05,0.75,24.20,0.14,4.947718,28.454812,3.92,1.55,,,,,,,,,,,
24002142,0.128,4,4,4,4,2.05,0.75,22.40,0.14,5.39258,25.922781,3.92,1.43,,,,,,,,,,,
24002143,0.116,4,4,4,4,2.05,0.75,20.80,0.14,5.846359,23.780146,3.92,1.21,,,,,,,,,,,
24002144,0.105,4,4,4,4,2.05,0.75,19.40,0.14,6.307132,21.948314,3.92,0.96,,,,,,,,,,,
24002145,0.095,4,4,4,4,2.05,0.75,18.20,0.14,6.773471,20.367281,3.92,0.83,,,,,,,,,,,
24002146,0.086,4,4,4,4,2.04,0.75,17.00,0.14,7.244302,18.990823,3.92,0.77,,,,,,,,,,,
24002147,0.078,4,4,4,4,2.04,0.75,16.10,0.14,7.718803,17.782968,3.92,0.74,,,,,,,,,,,
24002148,0.071,4,4,4,4,2.04,0.75,15.20,0.14,8.196335,16.715428,3.92,0.72,,,,,,,,,,,
24002149,0.065,4,4,4,4,2.04,0.75,14.40,0.14,8.6764,15.765721,3.92,0.49,,,,,,,,,,,
24002150,0.06,4,4,4,4,2.04,0.75,13.70,0.14,9.158598,14.915804,3.92,0.61,,,,,,,,,,,
24002151,0.055,4,4,4,4,2.03,0.75,13.00,0.14,9.642609,14.151056,3.92,0.49,,,,,,,,,,,
24002152,0.05,3,3,3,3,2.03,0.75,12.40,0.14,10.128174,13.459521,3.92,0.47,,,,,,,,,,,
24002153,0.056,4,4,4,4,1.13,0.75,40.80,0.14,2.981163,73.433761,3.92,1.42,,,,,,,,,,,
24002154,0.106,4,4,4,4,1.39,0.75,38.10,0.14,3.160274,64.711389,3.92,1.77,,,,,,,,,,,
24002155,0.135,4,4,4,4,1.58,0.75,35.20,0.14,3.404017,57.079451,3.92,2.47,,,,,,,,,,,
24002156,0.148,4,4,4,4,1.71,0.75,32.30,0.14,3.699639,50.5654,3.92,2.32,,,,,,,,,,,
24002157,0.149,4,4,4,4,1.79,0.75,29.70,0.14,4.035757,45.074458,3.92,2.21,,,,,,,,,,,
24002158,0.144,4,4,4,4,1.85,0.75,27.30,0.14,4.403105,40.462862,3.92,1.7,,,,,,,,,,,
24002159,0.136,4,4,4,4,1.89,0.75,25.20,0.14,4.794511,36.582296,3.92,1.62,,,,,,,,,,,
24002160,0.126,4,4,4,4,1.92,0.75,23.30,0.14,5.204549,33.30001,3.92,1.37,,,,,,,,,,,
24002161,0.116,4,4,4,4,1.94,0.75,21.70,0.14,5.62915,30.504812,3.92,1.31,,,,,,,,,,,
24002162,0.106,4,4,4,4,1.95,0.75,20.20,0.14,6.065256,28.106525,3.92,1.24,,,,,,,,,,,
24002163,0.097,4,4,4,4,1.97,0.75,18.90,0.14,6.510555,26.033074,3.92,0.93,,,,,,,,,,,
24002164,0.088,4,4,4,4,1.97,0.75,17.70,0.14,6.963285,24.227123,3.92,0.96,,,,,,,,,,,
24002165,0.081,4,4,4,4,1.98,0.75,16.70,0.14,7.422084,22.643026,3.92,0.75,,,,,,,,,,,
24002166,0.074,4,4,4,4,1.99,0.75,15.80,0.14,7.885894,21.244301,3.92,0.69,,,,,,,,,,,
24002167,0.068,4,4,4,4,1.99,0.75,14.90,0.14,8.353881,20.001616,3.92,0.66,,,,,,,,,,,
24002168,0.062,4,4,4,4,1.99,0.75,14.20,0.14,8.82538,18.891235,3.92,0.58,,,,,,,,,,,
24002169,0.057,4,4,4,4,2.00,0.75,13.50,0.14,9.299857,17.893814,3.92,0.62,,,,,,,,,,,
24002170,0.052,4,4,4,4,2.00,0.75,12.80,0.14,9.776877,16.993472,3.92,0.56,,,,,,,,,,,
24002171,0.048,4,4,4,4,2.00,0.75,12.30,0.14,10.256088,16.177079,3.92,0.52,,,,,,,,,,,
24002172,0.037,4,4,4,4,0.79,0.75,35.90,0.14,3.463344,75.792897,3.92,1.09,,,,,,,,,,,
24002173,0.077,4,4,4,4,1.07,0.75,34.10,0.14,3.618667,68.095196,3.92,1.58,,,,,,,,,,,
24002174,0.103,4,4,4,4,1.29,0.75,32.00,0.14,3.833373,61.144408,3.92,1.89,,,,,,,,,,,
24002175,0.117,4,4,4,4,1.46,0.75,29.80,0.14,4.09814,55.010178,3.92,1.8,,,,,,,,,,,
24002176,0.122,4,4,4,4,1.58,0.75,27.70,0.14,4.403947,49.673177,3.92,1.82,,,,,,,,,,,
24002177,0.121,4,4,4,4,1.67,0.75,25.70,0.14,4.742863,45.063357,3.92,1.65,,,,,,,,,,,
24002178,0.117,4,4,4,4,1.73,0.75,23.90,0.14,5.108302,41.090263,3.92,1.63,,,,,,,,,,,
24002179,0.11,4,4,4,4,1.78,0.75,22.30,0.14,5.494975,37.661678,3.92,1.5,,,,,,,,,,,
24002180,0.103,4,4,4,4,1.82,0.75,20.80,0.14,5.898707,34.692955,3.92,1.25,,,,,,,,,,,
24002181,0.096,4,4,4,4,1.85,0.75,19.50,0.14,6.316229,32.110515,3.92,1.11,,,,,,,,,,,
24002182,0.088,4,4,4,4,1.88,0.75,18.30,0.14,6.74498,29.852266,3.92,0.99,,,,,,,,,,,
24002183,0.081,4,4,4,4,1.90,0.75,17.30,0.14,7.182948,27.866621,3.92,1.03,,,,,,,,,,,
24002184,0.075,4,4,4,4,1.91,0.75,16.30,0.14,7.628548,26.111039,3.92,0.76,,,,,,,,,,,
24002185,0.069,4,4,4,4,1.92,0.75,15.40,0.14,8.080517,24.550514,3.92,0.72,,,,,,,,,,,
24002186,0.064,4,4,4,4,1.93,0.75,14.60,0.14,8.537842,23.156223,3.92,0.61,,,,,,,,,,,
24002187,0.059,4,4,4,4,1.94,0.75,13.90,0.14,8.999708,21.904362,3.92,0.48,,,,,,,,,,,
24002188,0.054,4,4,4,4,1.95,0.75,13.30,0.14,9.46545,20.7752,3.92,0.49,,,,,,,,,,,
24002189,0.05,4,4,4,4,1.96,0.75,12.60,0.14,9.934523,19.752301,3.92,0.54,,,,,,,,,,,
24002190,0.046,4,4,4,4,1.96,0.75,12.10,0.14,10.406476,18.821909,3.92,0.4,,,,,,,,,,,
24003000,0.209,4,4,4,4,1.69,0.22,36.10,0.08,1.054088,5.045641,2.13,1.33,,,,,,,,,,,
24003001,0.174,4,4,4,4,1.36,0.22,27.10,0.08,1.552773,3.422804,2.13,0.65,,,,,,,,,,,
24003002,0.131,4,4,4,4,1.24,0.22,21.50,0.08,2.052098,2.589294,2.13,0.37,,,,,,,,,,,
24003003,0.099,4,4,4,4,1.18,0.22,17.80,0.08,2.551688,2.082091,2.13,0.29,,,,,,,,,,,
24003004,0.076,4,4,4,4,1.15,0.22,15.10,0.08,3.051412,1.740995,2.13,0.12,,,,,,,,,,,
24003005,0.06,4,4,4,4,1.13,0.22,13.10,0.08,3.551213,1.495906,2.13,0.07,,,,,,,,,,,
24003006,0.048,4,4,4,4,1.11,0.22,11.60,0.08,4.051064,1.311295,2.13,0.07,,,,,,,,,,,
24003007,0.04,4,4,4,4,1.10,0.22,10.40,0.08,4.550947,1.167239,2.13,0.15,,,,,,,,,,,
24003008,0.033,4,4,4,4,1.10,0.22,9.40,0.08,5.050854,1.051698,2.13,0.09,,,,,,,,,,,
24003009,0.175,4,4,4,4,1.42,0.22,33.20,0.08,1.205739,29.44388,2.13,0.73,,,,,,,,,,,
24003010,0.152,4,4,4,4,1.25,0.22,25.80,0.08,1.659461,20.926373,2.13,0.59,,,,,,,,,,,
24003011,0.119,4,4,4,4,1.18,0.22,20.90,0.08,2.133967,16.125881,2.13,0.28,,,,,,,,,,,
24003012,0.092,4,4,4,4,1.14,0.22,17.40,0.08,2.617979,13.08512,2.13,0.22,,,,,,,,,,,
24003013,0.072,4,4,4,4,1.12,0.22,14.90,0.08,3.10706,10.997207,2.13,0.2,,,,,,,,,,,
24003014,0.057,4,4,4,4,1.10,0.22,13.00,0.08,3.599142,9.478638,2.13,0.11,,,,,,,,,,,
24003015,0.047,4,4,4,4,1.09,0.22,11.50,0.08,4.093144,8.325967,2.13,0.18,,,,,,,,,,,
24003016,0.038,4,4,4,4,1.09,0.22,10.30,0.08,4.588445,7.421844,2.13,0.12,,,,,,,,,,,
24003017,0.032,4,4,4,4,1.08,0.22,9.30,0.08,5.084666,6.694037,2.13,0.07,,,,,,,,,,,
