Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
MMRRRPPP,steradians,0 to 4,0 to 4,0 to 4,0 to 4,,0-1,degrees,steradians,meters,degrees,meters,%,,,,,,,,,,,
String (10 char.),Float  (1 decimal),vector 4 components,vector 4 components,vector 4 components,vector 4 components,,Float (2 decimals),Float (2 decimals),Float  (1 decimal),Float (2 decimals),Float (1 decimal),Float (2 decimals),Float (2 decimals),,,,,,,,,,,
24000000,0.373,0,4,4,4,1.99,0.46,4.40,0.16,0.763418,10.758186,1.11,0.51,,,,,,,,,,,
24000001,0.193,4,4,4,4,2.00,0.46,2.70,0.16,1.258097,6.503776,1.11,0.22,,,,,,,,,,,
24000002,0.115,4,4,4,4,2.00,0.46,1.90,0.16,1.755792,4.655339,1.11,0.21,,,,,,,,,,,
24000003,0.076,4,4,4,4,2.00,0.46,1.50,0.16,2.254508,3.623968,1.11,0.16,,,,,,,,,,,
24000004,0.053,4,4,4,4,2.00,0.46,1.20,0.16,2.75369,2.966372,1.11,0.15,,,,,,,,,,,
24001000,0.345,0,4,4,4,2.00,0.46,5.70,0.15,0.812243,9.959287,1.13,0.5,,,,,,,,,,,
24001001,0.182,0,4,4,4,2.00,0.46,3.60,0.15,1.307571,6.167352,1.13,0.26,,,,,,,,,,,
24001002,0.11,4,4,4,4,2.00,0.46,2.60,0.15,1.805476,4.462439,1.13,0.15,,,,,,,,,,,
24001003,0.073,4,4,4,4,2.00,0.46,2.00,0.15,2.304289,3.495082,1.13,0.19,,,,,,,,,,,
24001004,0.052,4,4,4,4,2.00,0.46,1.70,0.15,2.803525,2.872119,1.13,0.19,,,,,,,,,,,
24002000,0.014,4,4,4,4,0.39,0.75,27.00,0.14,4.719754,79.624757,3.92,0.91,,,,,,,,,,,
24002001,0.033,4,4,4,4,0.62,0.75,26.30,0.14,4.834881,73.786288,3.92,0.95,,,,,,,,,,,
24002002,0.05,4,4,4,4,0.83,0.75,25.30,0.14,4.997607,68.273456,3.92,1.33,,,,,,,,,,,
24002003,0.063,4,4,4,4,1.00,0.75,24.20,0.14,5.203468,63.152209,3.92,1.2,,,,,,,,,,,
24002004,0.07,4,4,4,4,1.15,0.75,23.10,0.14,5.447575,58.454968,3.92,1.31,,,,,,,,,,,
24002005,0.075,4,4,4,4,1.28,0.75,21.90,0.14,5.725039,54.186497,3.92,1.43,,,,,,,,,,,
24002006,0.076,4,4,4,4,1.38,0.75,20.80,0.14,6.031258,50.33177,3.92,1.34,,,,,,,,,,,
24002007,0.075,4,4,4,4,1.47,0.75,19.70,0.14,6.362081,46.86352,3.92,1.36,,,,,,,,,,,
24002008,0.02,4,4,4,4,0.50,0.75,30.00,0.14,4.228888,78.404647,3.92,0.97,,,,,,,,,,,
24002009,0.046,4,4,4,4,0.75,0.75,29.00,0.14,4.357005,71.950059,3.92,1.28,,,,,,,,,,,
24002010,0.066,4,4,4,4,0.97,0.75,27.70,0.14,4.536904,65.935356,3.92,1.27,,,,,,,,,,,
24002011,0.08,4,4,4,4,1.15,0.75,26.20,0.14,4.762719,60.434672,3.92,1.28,,,,,,,,,,,
24002012,0.088,4,4,4,4,1.30,0.75,24.80,0.14,5.028269,55.47294,3.92,1.45,,,,,,,,,,,
24002013,0.091,4,4,4,4,1.41,0.75,23.30,0.14,5.327616,51.038426,3.92,1.48,,,,,,,,,,,
24002014,0.09,4,4,4,4,1.51,0.75,22.00,0.14,5.655395,47.09648,3.92,1.34,,,,,,,,,,,
24002015,0.088,4,4,4,4,1.58,0.75,20.70,0.14,6.006954,43.600925,3.92,1.36,,,,,,,,,,,
24002016,0.03,4,4,4,4,0.66,0.75,33.50,0.14,3.740443,76.865023,3.92,1.01,,,,,,,,,,,
24002017,0.063,4,4,4,4,0.93,0.75,32.10,0.14,3.884702,69.664482,3.92,1.23,,,,,,,,,,,
24002018,0.088,4,4,4,4,1.16,0.75,30.30,0.14,4.085451,63.074834,3.92,1.48,,,,,,,,,,,
24002019,0.102,4,4,4,4,1.33,0.75,28.50,0.14,4.334848,57.172053,3.92,1.63,,,,,,,,,,,
24002020,0.109,4,4,4,4,1.47,0.75,26.60,0.14,4.625031,51.959954,3.92,1.65,,,,,,,,,,,
24002021,0.109,4,4,4,4,1.57,0.75,24.90,0.14,4.948829,47.395967,3.92,1.75,,,,,,,,,,,
24002022,0.107,4,4,4,4,1.65,0.75,23.20,0.14,5.300086,43.414287,3.92,1.44,,,,,,,,,,,
24002023,0.102,4,4,4,4,1.71,0.75,21.70,0.14,5.673703,39.941978,3.92,1.66,,,,,,,,,,,
24002024,0.044,4,4,4,4,0.91,0.75,37.90,0.14,3.255507,74.864894,3.92,1.23,,,,,,,,,,,
24002025,0.088,4,4,4,4,1.19,0.75,35.80,0.14,3.420282,66.752466,3.92,1.73,,,,,,,,,,,
24002026,0.116,4,4,4,4,1.41,0.75,33.30,0.14,3.646687,59.515201,3.92,2.18,,,,,,,,,,,
24002027,0.13,4,4,4,4,1.56,0.75,30.90,0.14,3.92407,53.211136,3.92,2.05,,,,,,,,,,,
24002028,0.133,4,4,4,4,1.67,0.75,28.50,0.14,4.242444,47.7952,3.92,1.93,,,,,,,,,,,
24002029,0.131,4,4,4,4,1.74,0.75,26.40,0.14,4.593292,43.170208,3.92,1.91,,,,,,,,,,,
24002030,0.125,4,4,4,4,1.80,0.75,24.50,0.14,4.969741,39.223226,3.92,1.84,,,,,,,,,,,
24002031,0.117,4,4,4,4,1.84,0.75,22.80,0.14,5.366407,35.845584,3.92,1.71,,,,,,,,,,,
24002032,0.066,4,4,4,4,1.34,0.75,43.10,0.14,2.775922,72.169354,3.92,1.72,,,,,,,,,,,
24002033,0.121,4,4,4,4,1.58,0.75,40.00,0.14,2.967448,62.939156,3.92,2.45,,,,,,,,,,,
24002034,0.151,4,4,4,4,1.74,0.75,36.60,0.14,3.225794,55.005187,3.92,2.55,,,,,,,,,,,
24002035,0.162,4,4,4,4,1.84,0.75,33.40,0.14,3.536346,48.353899,3.92,2.18,,,,,,,,,,,
24002036,0.161,4,4,4,4,1.90,0.75,30.50,0.14,3.886611,42.837361,3.92,1.96,,,,,,,,,,,
24002037,0.154,4,4,4,4,1.93,0.75,27.90,0.14,4.266819,38.267463,3.92,2.09,,,,,,,,,,,
24002038,0.144,4,4,4,4,1.96,0.75,25.70,0.14,4.669662,34.465127,3.92,2.11,,,,,,,,,,,
24002039,0.132,4,4,4,4,1.98,0.75,23.70,0.14,5.089769,31.278277,3.92,2.06,,,,,,,,,,,
24002040,0.094,4,4,4,4,2.10,0.75,49.30,0.14,2.30503,68.36091,3.92,1.99,,,,,,,,,,,
24002041,0.16,4,4,4,4,2.14,0.75,44.50,0.14,2.532422,57.785766,3.92,2.81,,,,,,,,,,,
24002042,0.19,4,4,4,4,2.16,0.75,40.00,0.14,2.830753,49.191236,3.92,3.27,,,,,,,,,,,
24002043,0.196,4,4,4,4,2.16,0.75,35.90,0.14,3.18012,42.356602,3.92,3.05,,,,,,,,,,,
24002044,0.19,4,4,4,4,2.15,0.75,32.40,0.14,3.565552,36.935242,3.92,2.77,,,,,,,,,,,
24002045,0.178,4,4,4,4,2.13,0.75,29.40,0.14,3.976577,32.602047,3.92,2.5,,,,,,,,,,,
24002046,0.163,4,4,4,4,2.12,0.75,26.80,0.14,4.406037,29.096597,3.92,2.19,,,,,,,,,,,
24002047,0.148,4,4,4,4,2.11,0.75,24.60,0.14,4.849037,26.222451,3.92,2.24,,,,,,,,,,,
24002048,0.119,4,4,4,4,3.34,0.75,55.70,0.14,1.849481,62.639445,3.92,3.11,,,,,,,,,,,
24002049,0.195,4,4,4,4,2.88,0.75,49.10,0.14,2.126165,50.584026,3.92,3.65,,,,,,,,,,,
24002050,0.225,4,4,4,4,2.64,0.75,43.20,0.14,2.47398,41.601319,3.92,4.07,,,,,,,,,,,
24002051,0.228,4,3,3,2,2.49,0.75,38.20,0.14,2.867155,34.952451,3.92,3.69,,,,,,,,,,,
24002052,0.216,4,3,3,2,2.39,0.75,34.10,0.14,3.289465,29.956779,3.92,3.45,,,,,,,,,,,
24002053,0.199,4,4,4,1,2.32,0.75,30.70,0.14,3.731029,26.119789,3.92,2.8,,,,,,,,,,,
24002054,0.18,4,4,4,4,2.26,0.75,27.80,0.14,4.185759,23.105273,3.92,2.43,,,,,,,,,,,
24002055,0.161,4,4,4,4,2.22,0.75,25.40,0.14,4.649793,20.686802,3.92,2.36,,,,,,,,,,,
24002056,0.13,4,4,4,4,5.00,0.75,61.40,0.14,1.424077,53.353391,3.92,3.78,,,,,,,,,,,
24002057,0.215,4,4,4,4,3.65,0.75,53.00,0.14,1.768614,40.243167,3.92,4.76,,,,,,,,,,,
24002058,0.248,4,4,4,4,3.07,0.75,45.80,0.14,2.174396,31.699993,3.92,4.92,,,,,,,,,,,
24002059,0.249,4,4,4,4,2.76,0.75,40.10,0.14,2.613043,25.929277,3.92,4.01,,,,,,,,,,,
24002060,0.235,4,4,4,4,2.57,0.75,35.50,0.14,3.070504,21.846161,3.92,3.6,,,,,,,,,,,
24002061,0.214,4,4,4,4,2.45,0.75,31.70,0.14,3.539491,18.832946,3.92,3.17,,,,,,,,,,,
24002062,0.192,4,4,4,4,2.36,0.75,28.60,0.14,4.015968,16.529562,3.92,2.61,,,,,,,,,,,
24002063,0.171,4,4,4,4,2.30,0.75,26.00,0.14,4.497554,14.717028,3.92,2.23,,,,,,,,,,,
24002064,0.135,4,4,4,4,7.03,0.75,65.50,0.14,1.065558,37.088551,3.92,4.06,,,,,,,,,,,
24002065,0.226,4,4,4,4,4.37,0.75,55.70,0.14,1.49513,25.45386,3.92,5.36,,,,,,,,,,,
24002066,0.262,4,4,4,4,3.43,0.75,47.70,0.14,1.958421,19.15427,3.92,4.96,,,,,,,,,,,
24002067,0.263,4,4,4,4,2.97,0.75,41.40,0.14,2.43627,15.293098,3.92,4.79,,,,,,,,,,,
24002068,0.247,4,4,4,4,2.71,0.75,36.40,0.14,2.921543,12.705888,3.92,3.75,,,,,,,,,,,
24002069,0.224,4,4,4,4,2.54,0.75,32.40,0.14,3.411072,10.858347,3.92,3.22,,,,,,,,,,,
24002070,0.2,4,4,4,4,2.43,0.75,29.10,0.14,3.903257,9.47559,3.92,2.54,,,,,,,,,,,
24002071,0.177,4,4,4,4,2.35,0.75,26.40,0.14,4.397205,8.402976,3.92,2.42,,,,,,,,,,,
24002072,0.137,4,4,4,4,8.41,0.75,67.40,0.14,0.861876,9.522409,3.92,4.02,,,,,,,,,,,
24002073,0.231,4,4,4,4,4.77,0.75,56.90,0.14,1.357509,6.029059,3.92,5.54,,,,,,,,,,,
24002074,0.269,4,4,4,4,3.62,0.75,48.50,0.14,1.855486,4.407181,3.92,5.87,,,,,,,,,,,
24002075,0.27,4,4,4,4,3.08,0.75,42.00,0.14,2.354322,3.472086,3.92,4.22,,,,,,,,,,,
24002076,0.253,4,4,4,4,2.78,0.75,36.80,0.14,2.853564,2.86407,3.92,3.85,,,,,,,,,,,
24002077,0.229,4,4,4,4,2.59,0.75,32.70,0.14,3.353033,2.437157,3.92,3.23,,,,,,,,,,,
24002078,0.204,4,4,4,4,2.47,0.75,29.40,0.14,3.852639,2.120954,3.92,2.64,,,,,,,,,,,
24002079,0.18,4,4,4,4,2.38,0.75,26.60,0.14,4.352336,1.877352,3.92,2.53,,,,,,,,,,,
24002080,0.137,4,4,4,4,7.99,0.75,66.90,0.14,0.922088,22.806296,3.92,4.25,,,,,,,,,,,
24002081,0.23,4,4,4,4,4.66,0.75,56.50,0.14,1.396512,14.829021,3.92,5.5,,,,,,,,,,,
24002082,0.267,4,4,4,4,3.57,0.75,48.30,0.14,1.88421,10.934732,3.92,5.55,,,,,,,,,,,
24002083,0.268,4,4,4,4,3.05,0.75,41.80,0.14,2.377025,8.647974,3.92,4.65,,,,,,,,,,,
24002084,0.251,4,4,4,4,2.76,0.75,36.70,0.14,2.872324,7.148115,3.92,3.76,,,,,,,,,,,
24002085,0.227,4,4,4,4,2.58,0.75,32.60,0.14,3.369013,6.089943,3.92,3.33,,,,,,,,,,,
24002086,0.203,4,4,4,4,2.46,0.75,29.30,0.14,3.866555,5.303885,3.92,2.67,,,,,,,,,,,
24002087,0.179,4,4,4,4,2.37,0.75,26.50,0.14,4.364659,4.697147,3.92,2.38,,,,,,,,,,,
24002088,0.134,4,4,4,4,6.16,0.75,64.00,0.14,1.207338,45.248891,3.92,3.84,,,,,,,,,,,
24002089,0.222,4,4,4,4,4.09,0.75,54.70,0.14,1.59927,32.420598,3.92,4.95,,,,,,,,,,,
24002090,0.257,4,4,4,4,3.29,0.75,47.00,0.14,2.039035,24.866244,3.92,4.86,,,,,,,,,,,
24002091,0.258,4,4,4,4,2.89,0.75,40.90,0.14,2.501532,20.044918,3.92,4.09,,,,,,,,,,,
24002092,0.243,4,4,4,4,2.66,0.75,36.10,0.14,2.976183,16.743813,3.92,3.67,,,,,,,,,,,
24002093,0.22,4,4,4,4,2.51,0.75,32.10,0.14,3.457986,14.356399,3.92,2.69,,,,,,,,,,,
24002094,0.197,4,4,4,4,2.41,0.75,28.90,0.14,3.94432,12.555204,3.92,2.61,,,,,,,,,,,
24002095,0.175,4,4,4,4,2.33,0.75,26.20,0.14,4.433696,11.150482,3.92,1.95,,,,,,,,,,,
24002096,0.126,4,4,4,4,4.21,0.75,59.10,0.14,1.601587,57.945642,3.92,3.06,,,,,,,,,,,
24002097,0.208,4,4,4,4,3.31,0.75,51.40,0.14,1.91444,45.156962,3.92,4.64,,,,,,,,,,,
24002098,0.239,4,4,4,4,2.89,0.75,44.80,0.14,2.294576,36.268947,3.92,4.47,,,,,,,,,,,
24002099,0.241,4,4,4,4,2.65,0.75,39.40,0.14,2.713868,30.011772,3.92,3.78,,,,,,,,,,,
24002100,0.227,4,4,4,4,2.50,0.75,34.90,0.14,3.156752,25.467838,3.92,3.02,,,,,,,,,,,
24002101,0.208,4,4,4,4,2.40,0.75,31.30,0.14,3.614565,22.057747,3.92,2.73,,,,,,,,,,,
24002102,0.187,4,4,4,4,2.32,0.75,28.30,0.14,4.082289,19.421419,3.92,2.19,,,,,,,,,,,
24002103,0.167,4,4,4,4,2.27,0.75,25.80,0.14,4.556872,17.330526,3.92,1.9,,,,,,,,,,,
24002104,0.148,4,4,4,4,2.23,0.75,23.60,0.14,5.036376,15.63586,3.92,1.58,,,,,,,,,,,
24002105,0.132,4,4,4,4,2.20,0.75,21.80,0.14,5.519518,14.236821,3.92,1.34,,,,,,,,,,,
24002106,0.118,4,4,4,4,2.17,0.75,20.20,0.14,6.005421,13.063568,3.92,1.27,,,,,,,,,,,
24002107,0.105,4,4,4,4,2.15,0.75,18.80,0.14,6.493464,12.066309,3.92,0.94,,,,,,,,,,,
24002108,0.094,4,4,4,4,2.14,0.75,17.60,0.14,6.9832,11.208696,3.92,0.72,,,,,,,,,,,
24002109,0.085,3,3,3,3,2.12,0.75,16.50,0.14,7.474295,10.463632,3.92,0.66,,,,,,,,,,,
24002110,0.077,3,3,3,3,2.11,0.75,15.60,0.14,7.966497,9.810535,3.92,0.61,,,,,,,,,,,
24002111,0.07,3,3,3,3,2.10,0.75,14.70,0.14,8.459615,9.23351,3.92,0.53,,,,,,,,,,,
24002112,0.063,2,2,2,2,2.10,0.75,13.90,0.14,8.953495,8.720095,3.92,0.47,,,,,,,,,,,
24002113,0.058,2,2,2,2,2.09,0.75,13.20,0.14,9.44802,8.260392,3.92,0.41,,,,,,,,,,,
24002114,0.053,2,2,2,2,2.08,0.75,12.60,0.14,9.943092,7.846442,3.92,0.47,,,,,,,,,,,
24002115,0.11,4,4,4,4,2.77,0.75,53.00,0.14,2.042669,65.409995,3.92,2.55,,,,,,,,,,,
24002116,0.182,4,4,4,4,2.56,0.75,47.20,0.14,2.296192,53.989754,3.92,3.31,,,,,,,,,,,
