Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
30000131,0,0,0,0,0,0.00,0.52,0.00,0.01,8.34,83.15,0.86,0,,,,,,,,,,,
30000132,0,0,0,0,0,0.00,0.52,0.00,0.01,7.90,81.51,0.86,0,,,,,,,,,,,
30000133,0,0,0,0,0,0.00,0.52,0.00,0.01,7.47,79.67,0.86,0,,,,,,,,,,,
30000134,0,0,0,0,0,0.00,0.52,0.00,0.01,7.04,77.61,0.86,0.01,,,,,,,,,,,
30000135,0,0,0,0,0,0.00,0.52,0.00,0.01,6.62,75.28,0.86,0.01,,,,,,,,,,,
30000136,0,0,0,0,0,0.00,0.52,0.00,0.01,6.22,72.65,0.86,0.01,,,,,,,,,,,
30000137,0,0,0,0,0,0.00,0.52,0.00,0.01,5.83,69.65,0.86,0.01,,,,,,,,,,,
30000138,0,0,0,0,0,0.00,0.52,0.00,0.01,5.46,66.25,0.86,0,,,,,,,,,,,
30000139,0,0,0,0,0,0.00,0.52,0.00,0.01,5.11,62.36,0.86,0,,,,,,,,,,,
30000140,0,0,0,0,0,0.00,0.52,0.00,0.01,4.79,57.92,0.86,0.01,,,,,,,,,,,
30000141,0.007,0,0,0,0,0.61,0.52,-2.50,0.01,4.50,52.89,0.86,0.01,,,,,,,,,,,
30000142,0.01,0,0,0,0,0.83,0.52,-2.60,0.01,4.25,47.21,0.86,0.02,,,,,,,,,,,
30000143,0.014,0,0,0,0,1.07,0.52,-2.70,0.01,4.05,40.90,0.86,0.01,,,,,,,,,,,
30000144,0.019,0,0,0,0,1.30,0.52,-2.80,0.01,3.90,34.02,0.86,0.02,,,,,,,,,,,
30000145,0.023,0,0,0,0,1.53,0.52,-2.90,0.01,3.81,26.70,0.86,0.03,,,,,,,,,,,
30000146,0.027,0,0,0,0,1.74,0.52,-2.90,0.01,3.79,19.17,0.86,0.02,,,,,,,,,,,
30000147,0.029,0,0,0,0,1.91,0.52,-2.90,0.01,3.83,11.67,0.86,0.02,,,,,,,,,,,
30000148,0.029,0,0,0,0,2.00,0.52,-2.80,0.01,3.93,4.45,0.86,0.01,,,,,,,,,,,
30000149,0.027,0,0,0,0,2.00,0.52,-2.70,0.01,4.10,2.30,0.86,0.02,,,,,,,,,,,
30000150,0.024,0,0,0,0,1.96,0.52,-2.60,0.01,4.31,8.45,0.86,0.01,,,,,,,,,,,
30000151,0.02,0,0,0,0,1.84,0.52,-2.40,0.01,4.57,13.96,0.86,0.01,,,,,,,,,,,
30000152,0.016,0,0,0,0,1.72,0.52,-2.30,0.01,4.87,18.83,0.86,0.02,,,,,,,,,,,
30000153,0.013,0,0,0,0,1.60,0.52,-2.10,0.01,5.20,23.12,0.86,0.02,,,,,,,,,,,
30000154,0.011,0,0,0,0,1.49,0.52,-2.00,0.01,5.56,26.88,0.86,0.01,,,,,,,,,,,
30000155,0.009,0,0,0,0,1.39,0.52,-1.90,0.01,5.93,30.17,0.86,0.01,,,,,,,,,,,
30000156,0.007,0,0,0,0,1.29,0.52,-1.70,0.01,6.32,33.06,0.86,0.02,,,,,,,,,,,
30000157,0.006,0,0,0,0,1.21,0.52,-1.60,0.01,6.73,35.61,0.86,0.01,,,,,,,,,,,
30000158,0,0,0,0,0,0.00,0.52,0.00,0.01,9.02,81.77,0.86,0,,,,,,,,,,,
30000159,0,0,0,0,0,0.00,0.52,0.00,0.01,8.58,80.18,0.86,0,,,,,,,,,,,
30000160,0,0,0,0,0,0.00,0.52,0.00,0.01,8.15,78.42,0.86,0.01,,,,,,,,,,,
30000161,0,0,0,0,0,0.00,0.52,0.00,0.01,7.73,76.48,0.86,0,,,,,,,,,,,
30000162,0,0,0,0,0,0.00,0.52,0.00,0.01,7.32,74.31,0.86,0.01,,,,,,,,,,,
30000163,0,0,0,0,0,0.00,0.52,0.00,0.01,6.92,71.88,0.86,0.01,,,,,,,,,,,
30000164,0,0,0,0,0,0.00,0.52,0.00,0.01,6.54,69.17,0.86,0,,,,,,,,,,,
30000165,0,0,0,0,0,0.00,0.52,0.00,0.01,6.17,66.12,0.86,0,,,,,,,,,,,
30000166,0,0,0,0,0,0.00,0.52,0.00,0.01,5.82,62.70,0.86,0.02,,,,,,,,,,,
30000167,0,0,0,0,0,0.00,0.52,0.00,0.01,5.49,58.85,0.86,0.01,,,,,,,,,,,
30000168,0.004,0,0,0,0,0.54,0.52,-2.10,0.01,5.20,54.54,0.86,0.01,,,,,,,,,,,
30000169,0.007,0,0,0,0,0.73,0.52,-2.30,0.01,4.93,49.75,0.86,0.01,,,,,,,,,,,
30000170,0.009,0,0,0,0,0.93,0.52,-2.40,0.01,4.70,44.44,0.86,0.01,,,,,,,,,,,
30000171,0.012,0,0,0,0,1.13,0.52,-2.50,0.01,4.52,38.66,0.86,0.03,,,,,,,,,,,
30000172,0.016,0,0,0,0,1.34,0.52,-2.50,0.01,4.39,32.45,0.86,0.01,,,,,,,,,,,
30000173,0.019,0,0,0,0,1.54,0.52,-2.60,0.01,4.31,25.94,0.86,0.02,,,,,,,,,,,
30000174,0.021,0,0,0,0,1.72,0.52,-2.60,0.01,4.29,19.28,0.86,0.02,,,,,,,,,,,
30000175,0.022,0,0,0,0,1.87,0.52,-2.60,0.01,4.32,12.64,0.86,0.02,,,,,,,,,,,
30000176,0.023,0,0,0,0,1.99,0.52,-2.50,0.01,4.42,6.20,0.86,0.01,,,,,,,,,,,
30000177,0.022,0,0,0,0,2.00,0.52,-2.40,0.01,4.56,0.10,0.86,0.02,,,,,,,,,,,
30000178,0.02,0,0,0,0,1.99,0.52,-2.30,0.01,4.76,5.57,0.86,0.01,,,,,,,,,,,
30000179,0.017,0,0,0,0,1.90,0.52,-2.20,0.01,5.00,10.74,0.86,0.02,,,,,,,,,,,
30000180,0.015,0,0,0,0,1.79,0.52,-2.10,0.01,5.27,15.41,0.86,0.01,,,,,,,,,,,
30000181,0.012,0,0,0,0,1.69,0.52,-2.00,0.01,5.58,19.59,0.86,0.01,,,,,,,,,,,
30000182,0.01,0,0,0,0,1.58,0.52,-1.90,0.01,5.91,23.33,0.86,0.02,,,,,,,,,,,
30000183,0.009,0,0,0,0,1.49,0.52,-1.80,0.01,6.26,26.65,0.86,0.01,,,,,,,,,,,
30000184,0.007,0,0,0,0,1.40,0.52,-1.70,0.01,6.64,29.60,0.86,0.01,,,,,,,,,,,
30000185,0.006,0,0,0,0,1.31,0.52,-1.60,0.01,7.02,32.24,0.86,0.02,,,,,,,,,,,
30000186,0.005,0,0,0,0,1.24,0.52,-1.50,0.01,7.43,34.59,0.86,0.02,,,,,,,,,,,
30000187,0,0,0,0,0,0.00,0.52,0.00,0.01,9.27,79.05,0.86,0.01,,,,,,,,,,,
30000188,0,0,0,0,0,0.00,0.52,0.00,0.01,8.84,77.37,0.86,0,,,,,,,,,,,
30000189,0,0,0,0,0,0.00,0.52,0.00,0.01,8.43,75.53,0.86,0.01,,,,,,,,,,,
30000190,0,0,0,0,0,0.00,0.52,0.00,0.01,8.02,73.50,0.86,0.01,,,,,,,,,,,
30000191,0,0,0,0,0,0.00,0.52,0.00,0.01,7.63,71.26,0.86,0,,,,,,,,,,,
30000192,0,0,0,0,0,0.00,0.52,0.00,0.01,7.24,68.77,0.86,0.01,,,,,,,,,,,
30000193,0,0,0,0,0,0.00,0.52,0.00,0.01,6.88,66.02,0.86,0,,,,,,,,,,,
30000194,0,0,0,0,0,0.00,0.52,0.00,0.01,6.53,62.96,0.86,0.01,,,,,,,,,,,
30000195,0,0,0,0,0,0.00,0.52,0.00,0.01,6.20,59.57,0.86,0.01,,,,,,,,,,,
30000196,0,0,0,0,0,0.00,0.52,0.00,0.01,5.89,55.81,0.86,0.01,,,,,,,,,,,
30000197,0.005,0,0,0,0,0.65,0.52,-2.00,0.01,5.62,51.66,0.86,0.01,,,,,,,,,,,
30000198,0.006,0,0,0,0,0.82,0.52,-2.10,0.01,5.37,47.11,0.86,0,,,,,,,,,,,
30000199,0.008,0,0,0,0,1.00,0.52,-2.10,0.01,5.16,42.16,0.86,0.01,,,,,,,,,,,
30000200,0.011,0,0,0,0,1.19,0.52,-2.20,0.01,5.00,36.84,0.86,0.01,,,,,,,,,,,
30000201,0.013,0,0,0,0,1.37,0.52,-2.30,0.01,4.88,31.20,0.86,0.02,,,,,,,,,,,
30000202,0.015,0,0,0,0,1.54,0.52,-2.30,0.01,4.81,25.34,0.86,0.01,,,,,,,,,,,
30000203,0.017,0,0,0,0,1.71,0.52,-2.30,0.01,4.79,19.37,0.86,0.01,,,,,,,,,,,
30000204,0.018,0,0,0,0,1.85,0.52,-2.30,0.01,4.82,13.42,0.86,0.01,,,,,,,,,,,
30000205,0.019,0,0,0,0,1.96,0.52,-2.30,0.01,4.90,7.61,0.86,0.02,,,,,,,,,,,
30000206,0.018,0,0,0,0,2.00,0.52,-2.20,0.01,5.04,2.05,0.86,0.01,,,,,,,,,,,
30000207,0.017,0,0,0,0,2.00,0.52,-2.10,0.01,5.21,3.18,0.86,0.01,,,,,,,,,,,
30000208,0.015,0,0,0,0,1.94,0.52,-2.00,0.01,5.43,8.03,0.86,0.03,,,,,,,,,,,
30000209,0.013,0,0,0,0,1.85,0.52,-1.90,0.01,5.68,12.48,0.86,0.02,,,,,,,,,,,
30000210,0.011,0,0,0,0,1.76,0.52,-1.90,0.01,5.97,16.52,0.86,0.01,,,,,,,,,,,
30000211,0.01,0,0,0,0,1.66,0.52,-1.80,0.01,6.28,20.19,0.86,0.02,,,,,,,,,,,
30000212,0.008,0,0,0,0,1.57,0.52,-1.70,0.01,6.61,23.49,0.86,0.01,,,,,,,,,,,
30000213,0.007,0,0,0,0,1.49,0.52,-1.60,0.01,6.97,26.46,0.86,0.02,,,,,,,,,,,
30000214,0.006,0,0,0,0,1.40,0.52,-1.50,0.01,7.34,29.15,0.86,0.01,,,,,,,,,,,
30000215,0.005,0,0,0,0,1.33,0.52,-1.40,0.01,7.73,31.57,0.86,0.01,,,,,,,,,,,
30000216,0,0,0,0,0,0.00,0.52,0.00,0.01,9.54,76.47,0.86,0,,,,,,,,,,,
30000217,0,0,0,0,0,0.00,0.52,0.00,0.01,9.12,74.73,0.86,0,,,,,,,,,,,
30000218,0,0,0,0,0,0.00,0.52,0.00,0.01,8.72,72.83,0.86,0,,,,,,,,,,,
30000219,0,0,0,0,0,0.00,0.52,0.00,0.01,8.33,70.74,0.86,0,,,,,,,,,,,
30000220,0,0,0,0,0,0.00,0.52,0.00,0.01,7.95,68.45,0.86,0,,,,,,,,,,,
30000221,0,0,0,0,0,0.00,0.52,0.00,0.01,7.58,65.94,0.86,0,,,,,,,,,,,
30000222,0,0,0,0,0,0.00,0.52,0.00,0.01,7.23,63.18,0.86,0,,,,,,,,,,,
30000223,0,0,0,0,0,0.00,0.52,0.00,0.01,6.90,60.14,0.86,0.01,,,,,,,,,,,
30000224,0,0,0,0,0,0.00,0.52,0.00,0.01,6.59,56.81,0.86,0.01,,,,,,,,,,,
30000225,0,0,0,0,0,0.00,0.52,0.00,0.01,6.31,53.16,0.86,0.01,,,,,,,,,,,
30000226,0.005,0,0,0,0,0.74,0.52,-1.80,0.01,6.05,49.18,0.86,0,,,,,,,,,,,
30000227,0.006,0,0,0,0,0.90,0.52,-1.90,0.01,5.82,44.88,0.86,0.01,,,,,,,,,,,
