Identifier,Features,,,,,,,,,,,,Labels,,,,,,,,,,,
"M = model
R = room
P = simulation points",solidAngle,obstructionValues LowerQuarter,obstructionValues SecondQuarter,obstructionValues ThirdQuarter,obstructionValues HigherQuarter,Projection AspectRatio,Frame ratio,solidAngleTilt,roomAvge SolidAngle,distanceWindowCenterToPt,angleOfPointPositionInReferenceToWindowNormal,windowHeadHeight,DF ,,,,,,,,,,,
MMRRRPPP,steradians,0 to 4,0 to 4,0 to 4,0 to 4,,0-1,degrees,steradians,meters,degrees,meters,%,,,,,,,,,,,
String (10 char.),Float  (1 decimal),vector 4 components,vector 4 components,vector 4 components,vector 4 components,,Float (2 decimals),Float (2 decimals),Float  (1 decimal),Float (2 decimals),Float (1 decimal),Float (2 decimals),Float (2 decimals),,,,,,,,,,,
30000000,0,0,0,0,0,0.00,0.52,0.00,0.01,3.64,81.16,0.86,0.01,,,,,,,,,,,
30000001,0,0,0,0,0,0.00,0.52,0.00,0.01,4.13,79.80,0.86,0.02,,,,,,,,,,,
30000002,0,0,0,0,0,0.00,0.52,0.00,0.01,2.08,75.73,0.86,0.01,,,,,,,,,,,
30000003,0,0,0,0,0,0.00,0.52,0.00,0.01,2.57,74.59,0.86,0.02,,,,,,,,,,,
30000004,0,0,0,0,0,0.00,0.52,0.00,0.01,3.07,73.82,0.86,0.01,,,,,,,,,,,
30000005,0,0,0,0,0,0.00,0.52,0.00,0.01,3.57,73.27,0.86,0.02,,,,,,,,,,,
30000006,0,0,0,0,0,0.00,0.52,0.00,0.01,4.07,72.85,0.86,0.02,,,,,,,,,,,
30000007,0.097,4,4,4,4,0.77,0.52,-10.50,0.01,1.10,54.75,0.86,0.03,,,,,,,,,,,
30000008,0.029,4,4,4,4,0.43,0.52,-7.20,0.01,1.59,59.45,0.86,0.03,,,,,,,,,,,
30000009,0.012,4,4,4,4,0.29,0.52,-5.40,0.01,2.08,61.93,0.86,0.03,,,,,,,,,,,
30000010,0.006,4,4,4,4,0.21,0.52,-4.40,0.01,2.58,63.46,0.86,0.03,,,,,,,,,,,
30000011,0,0,0,0,0,0.00,0.52,0.00,0.01,3.08,64.50,0.86,0.01,,,,,,,,,,,
30000012,0,0,0,0,0,0.00,0.52,0.00,0.01,3.58,65.24,0.86,0.02,,,,,,,,,,,
30000013,0,0,0,0,0,0.00,0.52,0.00,0.01,4.07,65.81,0.86,0.03,,,,,,,,,,,
30000014,0,0,0,0,0,0.00,0.52,0.00,0.01,4.57,66.25,0.86,0.02,,,,,,,,,,,
30000015,0.211,0,0,0,0,1.22,0.52,-12.70,0.01,0.90,49.08,0.86,0.02,,,,,,,,,,,
30000016,0.367,0,0,0,0,2.04,0.52,-13.50,0.01,0.79,15.45,0.86,0.02,,,,,,,,,,,
30000017,0.288,0,0,0,0,2.00,0.52,-11.10,0.01,0.97,15.50,0.86,0.04,,,,,,,,,,,
30000018,0.152,1,1,1,1,1.60,0.52,-8.40,0.01,1.32,33.37,0.86,0.04,,,,,,,,,,,
30000019,0.068,2,2,2,2,1.12,0.52,-6.40,0.01,1.75,43.14,0.86,0.02,,,,,,,,,,,
30000020,0.033,4,4,4,4,0.84,0.52,-5.10,0.01,2.21,48.98,0.86,0.02,,,,,,,,,,,
30000021,0.018,4,4,4,4,0.66,0.52,-4.20,0.01,2.68,52.79,0.86,0.01,,,,,,,,,,,
30000022,0.011,4,4,4,4,0.54,0.52,-3.50,0.01,3.16,55.44,0.86,0.02,,,,,,,,,,,
30000023,0.007,4,4,4,4,0.45,0.52,-3.10,0.01,3.65,57.40,0.86,0.01,,,,,,,,,,,
30000024,0.005,4,4,4,4,0.38,0.52,-2.70,0.01,4.14,58.89,0.86,0.03,,,,,,,,,,,
30000025,0,0,0,0,0,0.00,0.52,0.00,0.01,4.63,60.07,0.86,0.02,,,,,,,,,,,
30000026,0,0,0,0,0,0.00,0.52,0.00,0.01,2.32,76.52,0.86,0.01,,,,,,,,,,,
30000027,0,0,0,0,0,0.00,0.52,0.00,0.01,1.93,68.26,0.86,0.01,,,,,,,,,,,
30000028,0.04,0,0,0,0,0.58,0.52,-7.20,0.01,1.59,56.15,0.86,0.01,,,,,,,,,,,
30000029,0.127,0,0,0,0,1.39,0.52,-8.30,0.01,1.36,38.83,0.86,0.04,,,,,,,,,,,
30000030,0.192,0,0,0,0,1.98,0.52,-8.50,0.01,1.29,17.27,0.86,0.04,,,,,,,,,,,
30000031,0.17,0,0,0,0,2.01,0.52,-7.70,0.01,1.41,3.54,0.86,0.04,,,,,,,,,,,
30000032,0.124,0,0,0,0,1.91,0.52,-6.60,0.01,1.67,19.45,0.86,0.02,,,,,,,,,,,
30000033,0.072,0,0,0,0,1.54,0.52,-5.50,0.01,2.03,30.41,0.86,0.01,,,,,,,,,,,
30000034,0.042,1,1,1,1,1.24,0.52,-4.60,0.01,2.43,37.91,0.86,0.02,,,,,,,,,,,
30000035,0.026,3,3,3,3,1.02,0.52,-3.90,0.01,2.87,43.20,0.86,0.02,,,,,,,,,,,
30000036,0.016,4,4,4,4,0.86,0.52,-3.30,0.01,3.32,47.07,0.86,0.06,,,,,,,,,,,
30000037,0.011,4,4,4,4,0.74,0.52,-2.90,0.01,3.79,50.00,0.86,0.03,,,,,,,,,,,
30000038,0.008,4,4,4,4,0.64,0.52,-2.60,0.01,4.26,52.28,0.86,0.03,,,,,,,,,,,
30000039,0.005,4,4,4,4,0.57,0.52,-2.30,0.01,4.74,54.10,0.86,0.03,,,,,,,,,,,
30000040,0.004,4,4,4,4,0.50,0.52,-2.10,0.01,5.23,55.59,0.86,0.02,,,,,,,,,,,
30000041,0,0,0,0,0,0.00,0.52,0.00,0.01,3.44,78.81,0.86,0.01,,,,,,,,,,,
30000042,0,0,0,0,0,0.00,0.52,0.00,0.01,3.02,73.87,0.86,0.01,,,,,,,,,,,
30000043,0,0,0,0,0,0.00,0.52,0.00,0.01,2.63,67.42,0.86,0.02,,,,,,,,,,,
30000044,0.015,0,0,0,0,0.41,0.52,-4.90,0.01,2.29,58.91,0.86,0.03,,,,,,,,,,,
30000045,0.042,0,0,0,0,0.90,0.52,-5.60,0.01,2.02,47.77,0.86,0.03,,,,,,,,,,,
30000046,0.081,0,0,0,0,1.45,0.52,-6.10,0.01,1.84,33.83,0.86,0.03,,,,,,,,,,,
30000047,0.111,0,0,0,0,1.92,0.52,-6.10,0.01,1.79,18.07,0.86,0.04,,,,,,,,,,,
30000048,0.107,0,0,0,0,2.01,0.52,-5.80,0.01,1.87,2.61,0.86,0.02,,,,,,,,,,,
30000049,0.089,0,0,0,0,1.99,0.52,-5.30,0.01,2.08,10.63,0.86,0.02,,,,,,,,,,,
30000050,0.063,0,0,0,0,1.77,0.52,-4.60,0.01,2.38,21.05,0.86,0.03,,,,,,,,,,,
30000051,0.042,0,0,0,0,1.51,0.52,-4.10,0.01,2.73,28.97,0.86,0.03,,,,,,,,,,,
30000052,0.028,0,0,0,0,1.30,0.52,-3.50,0.01,3.13,34.98,0.86,0.03,,,,,,,,,,,
30000053,0.019,1,1,1,1,1.12,0.52,-3.10,0.01,3.55,39.60,0.86,0,,,,,,,,,,,
30000054,0.014,3,3,3,3,0.98,0.52,-2.80,0.01,3.99,43.22,0.86,0.02,,,,,,,,,,,
30000055,0.01,4,4,4,4,0.87,0.52,-2.50,0.01,4.44,46.12,0.86,0.01,,,,,,,,,,,
30000056,0.007,4,4,4,4,0.78,0.52,-2.30,0.01,4.90,48.47,0.86,0.02,,,,,,,,,,,
30000057,0.005,4,4,4,4,0.70,0.52,-2.10,0.01,5.37,50.41,0.86,0.02,,,,,,,,,,,
30000058,0,0,0,0,0,0.00,0.52,0.00,0.01,4.99,82.87,0.86,0.01,,,,,,,,,,,
30000059,0,0,0,0,0,0.00,0.52,0.00,0.01,4.55,79.98,0.86,0.01,,,,,,,,,,,
30000060,0,0,0,0,0,0.00,0.52,0.00,0.01,4.13,76.49,0.86,0,,,,,,,,,,,
30000061,0,0,0,0,0,0.00,0.52,0.00,0.01,3.72,72.22,0.86,0.01,,,,,,,,,,,
30000062,0,0,0,0,0,0.00,0.52,0.00,0.01,3.34,66.94,0.86,0.02,,,,,,,,,,,
30000063,0.007,0,0,0,0,0.34,0.52,-3.70,0.01,3.00,60.38,0.86,0.02,,,,,,,,,,,
30000064,0.019,0,0,0,0,0.68,0.52,-4.10,0.01,2.70,52.26,0.86,0.02,,,,,,,,,,,
30000065,0.035,0,0,0,0,1.07,0.52,-4.50,0.01,2.47,42.39,0.86,0.02,,,,,,,,,,,
30000066,0.055,0,0,0,0,1.49,0.52,-4.80,0.01,2.33,30.92,0.86,0.03,,,,,,,,,,,
30000067,0.07,0,0,0,0,1.84,0.52,-4.80,0.01,2.29,18.53,0.86,0.02,,,,,,,,,,,
30000068,0.072,0,0,0,0,2.00,0.52,-4.70,0.01,2.36,6.28,0.86,0.02,,,,,,,,,,,
30000069,0.064,0,0,0,0,2.00,0.52,-4.40,0.01,2.52,4.81,0.86,0.04,,,,,,,,,,,
30000070,0.052,0,0,0,0,1.90,0.52,-4.00,0.01,2.77,14.23,0.86,0.02,,,,,,,,,,,
30000071,0.038,0,0,0,0,1.69,0.52,-3.60,0.01,3.08,21.92,0.86,0.03,,,,,,,,,,,
30000072,0.028,0,0,0,0,1.50,0.52,-3.20,0.01,3.44,28.12,0.86,0.02,,,,,,,,,,,
30000073,0.02,0,0,1,0,1.33,0.52,-2.90,0.01,3.82,33.12,0.86,0.02,,,,,,,,,,,
30000074,0.015,0,0,0,0,1.19,0.52,-2.60,0.01,4.24,37.17,0.86,0.02,,,,,,,,,,,
30000075,0.011,2,2,2,2,1.07,0.52,-2.40,0.01,4.66,40.48,0.86,0.01,,,,,,,,,,,
30000076,0.008,3,3,3,3,0.96,0.52,-2.20,0.01,5.11,43.24,0.86,0.02,,,,,,,,,,,
30000077,0.006,4,4,4,4,0.88,0.52,-2.00,0.01,5.56,45.55,0.86,0.01,,,,,,,,,,,
30000078,0,0,0,0,0,0.00,0.52,0.00,0.01,6.56,84.99,0.86,0,,,,,,,,,,,
30000079,0,0,0,0,0,0.00,0.52,0.00,0.01,6.11,83.00,0.86,0,,,,,,,,,,,
30000080,0,0,0,0,0,0.00,0.52,0.00,0.01,5.67,80.69,0.86,0,,,,,,,,,,,
30000081,0,0,0,0,0,0.00,0.52,0.00,0.01,5.24,78.00,0.86,0.01,,,,,,,,,,,
30000082,0,0,0,0,0,0.00,0.52,0.00,0.01,4.82,74.84,0.86,0.01,,,,,,,,,,,
30000083,0,0,0,0,0,0.00,0.52,0.00,0.01,4.42,71.09,0.86,0.01,,,,,,,,,,,
30000084,0,0,0,0,0,0.00,0.52,0.00,0.01,4.05,66.63,0.86,0.02,,,,,,,,,,,
30000085,0.004,0,0,0,0,0.29,0.52,-3.00,0.01,3.70,61.29,0.86,0.01,,,,,,,,,,,
30000086,0.01,0,0,0,0,0.55,0.52,-3.30,0.01,3.39,54.92,0.86,0.01,,,,,,,,,,,
30000087,0.018,0,0,0,0,0.85,0.52,-3.60,0.01,3.14,47.39,0.86,0.02,,,,,,,,,,,
30000088,0.029,0,0,0,0,1.18,0.52,-3.80,0.01,2.94,38.70,0.86,0.03,,,,,,,,,,,
30000089,0.04,0,0,0,0,1.51,0.52,-3.90,0.01,2.82,29.02,0.86,0.02,,,,,,,,,,,
30000090,0.048,0,0,0,0,1.79,0.52,-4.00,0.01,2.79,18.82,0.86,0.02,,,,,,,,,,,
30000091,0.052,0,0,0,0,1.99,0.52,-3.90,0.01,2.84,8.69,0.86,0.02,,,,,,,,,,,
30000092,0.048,0,0,0,0,2.00,0.52,-3.70,0.01,2.98,0.76,0.86,0.03,,,,,,,,,,,
30000093,0.042,0,0,0,0,1.98,0.52,-3.40,0.01,3.20,9.16,0.86,0.02,,,,,,,,,,,
30000094,0.033,0,0,0,0,1.82,0.52,-3.20,0.01,3.47,16.38,0.86,0.03,,,,,,,,,,,
30000095,0.025,0,0,0,0,1.65,0.52,-2.90,0.01,3.79,22.47,0.86,0.02,,,,,,,,,,,
30000096,0.019,0,0,0,0,1.50,0.52,-2.70,0.01,4.14,27.57,0.86,0.02,,,,,,,,,,,
30000097,0.015,0,0,0,0,1.36,0.52,-2.40,0.01,4.53,31.83,0.86,0.01,,,,,,,,,,,
30000098,0.011,0,0,0,0,1.23,0.52,-2.20,0.01,4.93,35.41,0.86,0.01,,,,,,,,,,,
30000099,0.009,1,1,1,1,1.13,0.52,-2.10,0.01,5.35,38.44,0.86,0.02,,,,,,,,,,,
30000100,0.007,2,2,2,2,1.03,0.52,-1.90,0.01,5.78,41.03,0.86,0.02,,,,,,,,,,,
30000101,0.006,4,4,4,4,0.95,0.52,-1.80,0.01,6.22,43.25,0.86,0.02,,,,,,,,,,,
30000102,0,0,0,0,0,0.00,0.52,0.00,0.01,8.13,86.30,0.86,0.01,,,,,,,,,,,
30000103,0,0,0,0,0,0.00,0.52,0.00,0.01,7.67,84.79,0.86,0,,,,,,,,,,,
30000104,0,0,0,0,0,0.00,0.52,0.00,0.01,7.23,83.09,0.86,0,,,,,,,,,,,
30000105,0,0,0,0,0,0.00,0.52,0.00,0.01,6.78,81.17,0.86,0,,,,,,,,,,,
30000106,0,0,0,0,0,0.00,0.52,0.00,0.01,6.35,78.98,0.86,0.01,,,,,,,,,,,
30000107,0,0,0,0,0,0.00,0.52,0.00,0.01,5.93,76.48,0.86,0.01,,,,,,,,,,,
30000108,0,0,0,0,0,0.00,0.52,0.00,0.01,5.52,73.60,0.86,0.01,,,,,,,,,,,
30000109,0,0,0,0,0,0.00,0.52,0.00,0.01,5.13,70.27,0.86,0.01,,,,,,,,,,,
30000110,0,0,0,0,0,0.00,0.52,0.00,0.01,4.75,66.41,0.86,0.01,,,,,,,,,,,
30000111,0,0,0,0,0,0.00,0.52,0.00,0.01,4.41,61.91,0.86,0.01,,,,,,,,,,,
30000112,0.006,0,0,0,0,0.47,0.52,-2.70,0.01,4.09,56.68,0.86,0.02,,,,,,,,,,,
30000113,0.01,0,0,0,0,0.71,0.52,-2.90,0.01,3.81,50.63,0.86,0.01,,,,,,,,,,,
30000114,0.016,0,0,0,0,0.98,0.52,-3.10,0.01,3.59,43.73,0.86,0.03,,,,,,,,,,,
30000115,0.023,0,0,0,0,1.25,0.52,-3.20,0.01,3.42,36.03,0.86,0.02,,,,,,,,,,,
30000116,0.03,0,0,0,0,1.52,0.52,-3.30,0.01,3.32,27.69,0.86,0.03,,,,,,,,,,,
30000117,0.035,0,0,0,0,1.76,0.52,-3.40,0.01,3.29,19.02,0.86,0.02,,,,,,,,,,,
30000118,0.038,0,0,0,0,1.95,0.52,-3.30,0.01,3.34,10.40,0.86,0.03,,,,,,,,,,,
30000119,0.036,0,0,0,0,2.00,0.52,-3.20,0.01,3.46,2.20,0.86,0.01,,,,,,,,,,,
30000120,0.033,0,0,0,0,2.00,0.52,-3.00,0.01,3.64,5.31,0.86,0.01,,,,,,,,,,,
30000121,0.028,0,0,0,0,1.90,0.52,-2.80,0.01,3.88,11.98,0.86,0.02,,,,,,,,,,,
30000122,0.023,0,0,0,0,1.76,0.52,-2.60,0.01,4.17,17.81,0.86,0.02,,,,,,,,,,,
30000123,0.018,0,0,0,0,1.62,0.52,-2.50,0.01,4.49,22.85,0.86,0.02,,,,,,,,,,,
30000124,0.014,0,0,1,0,1.49,0.52,-2.30,0.01,4.85,27.17,0.86,0.02,,,,,,,,,,,
30000125,0.011,0,0,0,0,1.37,0.52,-2.10,0.01,5.23,30.89,0.86,0.01,,,,,,,,,,,
30000126,0.009,0,0,0,0,1.27,0.52,-2.00,0.01,5.63,34.09,0.86,0.03,,,,,,,,,,,
30000127,0.007,0,0,0,0,1.17,0.52,-1.80,0.01,6.04,36.87,0.86,0.03,,,,,,,,,,,
30000128,0.006,1,1,1,1,1.09,0.52,-1.70,0.01,6.46,39.28,0.86,0.02,,,,,,,,,,,
30000129,0,0,0,0,0,0.00,0.52,0.00,0.01,9.25,85.97,0.86,0,,,,,,,,,,,
30000130,0,0,0,0,0,0.00,0.52,0.00,0.01,8.79,84.63,0.86,0.01,,,,,,,,,,,
