,Identifiers,,,,,View of sky features,,,,,,,Room geometry features,,,,,,,,,,,Window geometry features,,,,,,Labels: Daylight Factor,,
,Point identifier,Project nr,Room nr,Point Nr,Window number,VS angle (Horizontal),VS angle (Vertical),VS angle from horizon,Portion of view externally obstructed (from lower to higher quarter),Portion of view externally obstructed (from lower to higher third),Portion of view externally obstructed (from lower to higher half),Frame ratio,Room depth,Room width,Room height,Is rectangular?,Num of windows,Num of edges with windows,Edges orthogonal?,Room area,Total window area,Window-to-wall ratio,Window-to-floor ratio,Window height,Window width,Window sill height,Angle of point position in reference to window normal,Distance window center to pt,Has balcony above?,DF (direct component),DF (reflected component),DF 
,,,,,,degrees,degrees,degrees,0 to 4,0 to 3,0 to 2,0-1,m,m,m,,,,,m2,m2,0-1,0-1,meters,meters,meters,degrees,meters,,%,%,%
,String (10 char.),String (2 char.),String (3 char.),String (3 char.),String (2 char.),Float  (1 decimal),Float (1 decimal),Float (1 decimal),vector 4 components,vector 3 components,vector 2 components,Float (2 decimals),Float (2 decimals),Float (2 decimals),Float (2 decimals),Boolean,Integer,Integer,Boolean,Float (2 decimals),Float (2 decimals),Float (2 decimals),Float (2 decimals),Float (2 decimals),Float (2 decimals),Float (2 decimals),Float (1 decimal),Float (2 decimals),Boolean,Float (2 decimals),Float (2 decimals),Float (2 decimals)
0100000801,0100000801,01,000,008,01,4.576191,16.31485,0.659069,"[[1],[1],[1],[1]]","[[1],[1],[1]]","[[0],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,24.010204,5.370703,FALSE,0.04,0.11,0.15
0100000900,0100000900,01,000,009,00,14.988026,27.437634,-8.94458,"[[2],[2],[2],[0]]","[[2],[2],[0]]","[[1],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,3.071385,4.913049,FALSE,,,
0100000901,0100000901,01,000,009,01,5.193712,16.750683,0.681426,"[[3],[2],[1],[1]]","[[2],[1],[0]]","[[1],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,19.504477,5.204659,FALSE,0.03,0.13,0.16
0100001000,0100001000,01,000,010,00,15.007959,27.455442,-8.950599,"[[1],[1],[1],[0]]","[[1],[1],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,2.152071,4.909455,FALSE,,,
0100001001,0100001001,01,000,010,01,5.804171,17.111431,0.700326,"[[4],[4],[0],[0]]","[[3],[3],[0]]","[[2],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,14.733544,5.07279,FALSE,0.02,0.13,0.15
0100001100,0100001100,01,000,011,00,14.804153,27.272816,-8.888888,"[[0],[0],[0],[0]]","[[0],[0],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,7.340077,4.946527,FALSE,,,
0100001101,0100001101,01,000,011,01,6.376836,17.379595,0.714624,"[[4],[4],[0],[0]]","[[3],[3],[0]]","[[2],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,9.744653,4.977813,FALSE,0.03,0.13,0.16
0100001200,0100001200,01,000,012,00,14.063963,26.901467,-8.763541,"[[0],[0],[0],[0]]","[[0],[0],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,12.410127,5.023366,FALSE,,,
0100001201,0100001201,01,000,012,01,6.87903,17.540924,0.723333,"[[4],[4],[0],[0]]","[[3],[2],[0]]","[[2],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,4.602373,4.921862,FALSE,0.02,0.18,0.2
0100001300,0100001300,01,000,013,00,13.135939,26.363969,-8.582425,"[[0],[0],[0],[0]]","[[0],[0],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,17.290588,5.138189,FALSE,,,
0100001301,0100001301,01,000,013,01,6.988884,17.586319,0.725799,"[[1],[1],[0],[0]]","[[1],[0],[0]]","[[0],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,0.615092,4.906275,FALSE,0.08,0.06,0.14
0100001400,0100001400,01,000,014,00,15.119532,29.27966,-9.569469,"[[4],[4],[3],[0]]","[[3],[3],[0]]","[[2],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,14.649351,4.580589,FALSE,,,
0100001401,0100001401,01,000,014,01,4.006638,17.002627,0.686229,"[[1],[1],[1],[1]]","[[1],[1],[1]]","[[1],[1]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,30.715256,5.154819,FALSE,0.06,0.12,0.18
0100001500,0100001500,01,000,015,00,16.141401,29.806024,-9.748894,"[[3],[3],[3],[0]]","[[3],[3],[0]]","[[2],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,9.112634,4.48833,FALSE,,,
0100001501,0100001501,01,000,015,01,4.717774,17.617594,0.717762,"[[1],[1],[1],[1]]","[[1],[1],[1]]","[[0],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,26.248666,4.941204,FALSE,0.03,0.14,0.17
0100001600,0100001600,01,000,016,00,16.503457,30.091832,-9.846484,"[[2],[2],[2],[0]]","[[2],[2],[0]]","[[1],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,3.399372,4.439493,FALSE,,,
0100001601,0100001601,01,000,016,01,5.467211,18.169618,0.746918,"[[2],[1],[1],[1]]","[[1],[1],[1]]","[[0],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,21.410951,4.760202,FALSE,0.04,0.15,0.19
0100001700,0100001700,01,000,017,00,16.529993,30.11534,-9.854516,"[[1],[1],[1],[0]]","[[1],[1],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,2.382148,4.435515,FALSE,,,
0100001701,0100001701,01,000,017,01,6.22191,18.632049,0.772021,"[[4],[3],[1],[1]]","[[3],[0],[0]]","[[2],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,16.231121,4.615653,FALSE,0.05,0.13,0.18
0100001800,0100001800,01,000,018,00,16.259331,29.874708,-9.772335,"[[0],[0],[0],[0]]","[[0],[0],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,8.115695,4.476514,FALSE,,,
0100001801,0100001801,01,000,018,01,6.938328,18.979117,0.791303,"[[4],[4],[0],[0]]","[[3],[0],[0]]","[[2],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,10.764365,4.51106,FALSE,0.06,0.12,0.18
0100001900,0100001900,01,000,019,00,15.315095,29.388395,-9.606502,"[[0],[0],[0],[0]]","[[0],[0],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,13.690649,4.561278,FALSE,,,
0100001901,0100001901,01,000,019,01,7.567729,19.1893,0.803176,"[[4],[4],[0],[0]]","[[3],[0],[0]]","[[2],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,5.092486,4.449244,FALSE,0.03,0.18,0.21
0100002000,0100002000,01,000,020,00,14.139042,28.691386,-9.3694,"[[0],[0],[0],[0]]","[[0],[0],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,19.014006,4.687433,FALSE,,,
0100002001,0100002001,01,000,020,01,7.707004,19.248633,0.806556,"[[1],[1],[0],[0]]","[[1],[0],[0]]","[[0],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,0.680918,4.431995,FALSE,0.07,0.11,0.18
0100002100,0100002100,01,000,021,00,16.531446,32.202072,-10.570749,"[[3],[3],[0],[0]]","[[3],[2],[0]]","[[2],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,16.316368,4.123443,FALSE,,,
0100002101,0100002101,01,000,021,01,3.967634,18.330881,0.74525,"[[1],[1],[1],[1]]","[[1],[1],[1]]","[[1],[1]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,33.636796,4.753225,FALSE,0.03,0.19,0.22
0100002200,0100002200,01,000,022,00,17.866187,32.906768,-10.814118,"[[3],[3],[0],[0]]","[[3],[3],[0]]","[[2],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,10.183158,4.020708,FALSE,,,
0100002201,0100002201,01,000,022,01,4.813875,19.108203,0.786154,"[[1],[1],[1],[1]]","[[1],[1],[1]]","[[1],[1]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,28.908308,4.520673,FALSE,0.05,0.13,0.18
0100002300,0100002300,01,000,023,00,18.355653,33.292869,-10.94779,"[[2],[2],[0],[0]]","[[2],[2],[0]]","[[1],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,3.80567,3.966117,FALSE,,,
0100002301,0100002301,01,000,023,01,5.732573,19.81785,0.824942,"[[1],[1],[1],[1]]","[[1],[1],[1]]","[[0],[0]]",0.557583,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,1.62,0.62,0.86,23.706914,4.322096,FALSE,0.06,0.1,0.16
0100002400,0100002400,01,000,024,00,18.392025,33.324735,-10.958833,"[[1],[1],[0],[0]]","[[1],[1],[0]]","[[0],[0]]",1.279595,,,2.62,TRUE,2,1,,20.37,4.35,0.46,0.21,2.5,1.338985,4.58E-07,2.66727,3.961664,FALSE,,,
